,Unnamed: 0,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
0,Oligodendrocyte Precursor Cells,0.016769513,0.011495558,0.93,0.07,0.07,0.07,False,Elmo1
3,Endocrine Cells,0.016744187,0.027838092,0.734,0.266,0.266,0.1945,False,Adamts1
2283,Endocrine Cells,0.016712336,0.028131438,0.732,0.268,0.268,0.1935,False,Myh9
8,Astrocytes,0.016670559,0.017584236,0.829,0.171,0.171,0.0568888888888888,False,Aldoa
1284,Oligodendrocyte Precursor Cells,0.016620457,0.011531387,0.925,0.075,0.075,0.075,False,Gad1
3,Medium Spiny Neurons,0.016545914,0.009511006,0.95,0.05,0.05,0.0175,True,Atp1b2
4368,Oligodendrocyte Precursor Cells,0.016514488,0.011385834,0.928,0.072,0.072,0.072,False,Serpina3n
2439,Endocrine Cells,0.016502885,0.027979147,0.73,0.27,0.27,0.21925,False,Nhsl1
2342,Endocrine Cells,0.016466627,0.028042022,0.73,0.27,0.27,0.2073333333333333,False,Myo1e
0,Oligodendrocyte Precursor Cells,0.016466083,0.011569366,0.923,0.077,0.077,0.077,False,S1pr1
3040,Neurons,0.016462553,0.013335287,0.892,0.108,0.108,0.0252,True,Ptgds
1717,Oligodendrocyte Precursor Cells,0.016440976,0.011645361,0.921,0.079,0.079,0.073,False,Il6st
2,Medium Spiny Neurons,0.016419908,0.009572939,0.95,0.05,0.05,0.0166666666666666,True,Slc1a3
3,Endocrine Cells,0.016411914,0.027893864,0.73,0.27,0.27,0.14475,False,Sirt2
2174,Oligodendrocyte Precursor Cells,0.016401542,0.011643255,0.921,0.079,0.079,0.0333333333333333,True,Mlc1
1,Oligodendrocyte Precursor Cells,0.016344516,0.011774519,0.918,0.082,0.082,0.0575,False,Rnf13
1369,Oligodendrocyte Precursor Cells,0.016263017,0.011484569,0.921,0.079,0.079,0.041,True,Gjb6
3433,Oligodendrocyte Precursor Cells,0.016217954,0.01178718,0.915,0.085,0.085,0.0425,True,Sirt2
1,Oligodendrocyte Precursor Cells,0.016216785,0.011622198,0.921,0.079,0.079,0.0395,True,Cav1
0,Oligodendrocyte Precursor Cells,0.016197968,0.0113457935,0.923,0.077,0.077,0.077,False,Ddit3
3,Endocrine Cells,0.016169338,0.0277563,0.73,0.27,0.27,0.114,False,Slc32a1
396,Oligodendrocyte Precursor Cells,0.016161663,0.011298854,0.923,0.077,0.077,0.077,False,C4b
2908,Endocrine Cells,0.016153453,0.027737897,0.73,0.27,0.27,0.1446,False,Ppp1r1b
5,Endocrine Cells,0.016127136,0.027816355,0.73,0.27,0.27,0.1656666666666666,False,Gad2
1,Oligodendrocyte Precursor Cells,0.016126588,0.011407811,0.921,0.079,0.079,0.061,False,Peg10
1169,Neural Stem Cells,0.016093956,0.021251762,0.765,0.235,0.235,0.1778333333333333,False,Fgfr2
189,Microglia,0.016090611,0.019561358,0.797,0.203,0.203,0.0715,False,Aldoa
