group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age,source_file
GABAergic Neurons,-0.0026218938,0.019031499,0.465,0.535,0.465,0.3445,False,Arf2,21,Arf2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.02424253,0.012430868,0.983,0.017,0.017,0.017,True,Gpr17,21,Gpr17_casecontrol.csv
Medium Spiny Neurons,-0.013036674,0.012350797,0.142,0.858,0.142,0.0794999999999999,False,Gpr17,21,Gpr17_casecontrol.csv
Neural Stem Cells,0.013580284,0.01824519,0.764,0.236,0.236,0.1316666666666666,False,Gpr17,21,Gpr17_casecontrol.csv
Neurons,0.008935003,0.014182457,0.733,0.267,0.267,0.1654999999999999,False,Gpr17,21,Gpr17_casecontrol.csv
Excitatory Neurons,0.004418129,0.012297028,0.639,0.361,0.361,0.2045999999999999,False,Gpr17,21,Gpr17_casecontrol.csv
Myocytes,0.00807328,0.024662545,0.628,0.372,0.372,0.2325,False,Gpr17,21,Gpr17_casecontrol.csv
Endothelial Cells,-0.008676156,0.03126385,0.395,0.605,0.395,0.2557142857142857,False,Gpr17,21,Gpr17_casecontrol.csv
Microglia,-0.0032920782,0.017953083,0.422,0.578,0.422,0.2765,False,Gpr17,21,Gpr17_casecontrol.csv
Astrocytes,0.0022859932,0.016008914,0.575,0.425,0.425,0.293,False,Gpr17,21,Gpr17_casecontrol.csv
Oligodendrocytes,-0.0023093314,0.010612051,0.435,0.565,0.435,0.3072,False,Gpr17,21,Gpr17_casecontrol.csv
Endocrine Cells,0.0047213295,0.031060105,0.562,0.438,0.438,0.3190909090909091,False,Gpr17,21,Gpr17_casecontrol.csv
GABAergic Neurons,-0.0023722087,0.018927913,0.472,0.528,0.472,0.3318333333333333,False,Gpr17,21,Gpr17_casecontrol.csv
Myocytes,-0.034433153,0.024821822,0.086,0.914,0.086,0.086,False,Acaa2,21,Acaa2_casecontrol.csv
Medium Spiny Neurons,-0.013573487,0.012296221,0.128,0.872,0.128,0.107,False,Acaa2,21,Acaa2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012867339,0.011596558,0.868,0.132,0.132,0.1153333333333333,False,Acaa2,21,Acaa2_casecontrol.csv
Neural Stem Cells,0.014043769,0.017986374,0.773,0.227,0.227,0.14325,False,Acaa2,21,Acaa2_casecontrol.csv
Neurons,0.008326704,0.014163623,0.722,0.278,0.278,0.1702,False,Acaa2,21,Acaa2_casecontrol.csv
Endocrine Cells,0.014074198,0.03127966,0.685,0.315,0.315,0.1943333333333333,False,Acaa2,21,Acaa2_casecontrol.csv
Excitatory Neurons,0.0043096356,0.012319595,0.636,0.364,0.364,0.2185714285714285,False,Acaa2,21,Acaa2_casecontrol.csv
Endothelial Cells,-0.008466504,0.030915152,0.398,0.602,0.398,0.241,False,Acaa2,21,Acaa2_casecontrol.csv
Microglia,-0.0019605223,0.018001696,0.448,0.552,0.448,0.264,False,Acaa2,21,Acaa2_casecontrol.csv
Oligodendrocytes,-0.0017387652,0.010680686,0.452,0.548,0.452,0.2828,False,Acaa2,21,Acaa2_casecontrol.csv
Astrocytes,0.00058079034,0.01624524,0.538,0.462,0.462,0.2990909090909091,False,Acaa2,21,Acaa2_casecontrol.csv
GABAergic Neurons,-0.0026208307,0.01897503,0.465,0.535,0.465,0.3129166666666667,False,Acaa2,21,Acaa2_casecontrol.csv
Myocytes,0.14967616,0.025270797,1.0,0.0,0.0,0.0,True,Adgrb1,21,Adgrb1_casecontrol.csv
Oligodendrocyte Precursor Cells,0.0204984,0.011930573,0.961,0.039,0.039,0.0195,True,Adgrb1,21,Adgrb1_casecontrol.csv
Neurons,0.017649746,0.013204933,0.914,0.086,0.086,0.0416666666666666,True,Adgrb1,21,Adgrb1_casecontrol.csv
Medium Spiny Neurons,-0.013315952,0.011164454,0.11,0.89,0.11,0.05875,False,Adgrb1,21,Adgrb1_casecontrol.csv
Excitatory Neurons,0.014502316,0.01369083,0.85,0.15,0.15,0.077,False,Adgrb1,21,Adgrb1_casecontrol.csv
Neural Stem Cells,0.015420394,0.017676024,0.8,0.2,0.2,0.0974999999999999,False,Adgrb1,21,Adgrb1_casecontrol.csv
GABAergic Neurons,0.0064926404,0.020249603,0.637,0.363,0.363,0.1354285714285714,False,Adgrb1,21,Adgrb1_casecontrol.csv
Astrocytes,0.0028849526,0.016779473,0.59,0.41,0.41,0.1697499999999999,False,Adgrb1,21,Adgrb1_casecontrol.csv
Endothelial Cells,-0.004563101,0.030949175,0.448,0.552,0.448,0.2006666666666666,False,Adgrb1,21,Adgrb1_casecontrol.csv
Microglia,-0.0014727976,0.018221354,0.46,0.54,0.46,0.2266,False,Adgrb1,21,Adgrb1_casecontrol.csv
Oligodendrocytes,-0.0012002897,0.010344173,0.467,0.533,0.467,0.2484545454545454,False,Adgrb1,21,Adgrb1_casecontrol.csv
Endocrine Cells,-0.00017957245,0.031099115,0.509,0.491,0.491,0.2686666666666666,False,Adgrb1,21,Adgrb1_casecontrol.csv
Medium Spiny Neurons,-0.013793857,0.01237013,0.127,0.873,0.127,0.127,False,Agtr1a,21,Agtr1a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012306854,0.011531492,0.852,0.148,0.148,0.1375,False,Agtr1a,21,Agtr1a_casecontrol.csv
Neurons,0.008960592,0.014206438,0.733,0.267,0.267,0.1806666666666666,False,Agtr1a,21,Agtr1a_casecontrol.csv
Neural Stem Cells,0.00823951,0.018369563,0.673,0.327,0.327,0.21725,False,Agtr1a,21,Agtr1a_casecontrol.csv
Excitatory Neurons,0.004530534,0.012283,0.642,0.358,0.358,0.2453999999999999,False,Agtr1a,21,Agtr1a_casecontrol.csv
Endothelial Cells,-0.008103611,0.03128067,0.401,0.599,0.401,0.2713333333333333,False,Agtr1a,21,Agtr1a_casecontrol.csv
Myocytes,0.00623104,0.024664765,0.597,0.403,0.403,0.2901428571428571,False,Agtr1a,21,Agtr1a_casecontrol.csv
Astrocytes,0.0023208044,0.015978422,0.577,0.423,0.423,0.3067499999999999,False,Agtr1a,21,Agtr1a_casecontrol.csv
Microglia,-0.0025996945,0.017938826,0.432,0.568,0.432,0.3206666666666666,False,Agtr1a,21,Agtr1a_casecontrol.csv
Endocrine Cells,-0.004453837,0.031064497,0.445,0.555,0.445,0.3330999999999999,False,Agtr1a,21,Agtr1a_casecontrol.csv
Oligodendrocytes,-0.0016999927,0.0107191065,0.452,0.548,0.452,0.3439090909090909,False,Agtr1a,21,Agtr1a_casecontrol.csv
GABAergic Neurons,-0.002319545,0.018901534,0.472,0.528,0.472,0.3545833333333332,False,Agtr1a,21,Agtr1a_casecontrol.csv
Endocrine Cells,0.036680363,0.03140365,0.88,0.12,0.12,0.12,False,Amd1,21,Amd1_casecontrol.csv
Medium Spiny Neurons,-0.013958756,0.0120645035,0.12,0.88,0.12,0.12,False,Amd1,21,Amd1_casecontrol.csv
Oligodendrocyte Precursor Cells,0.010860459,0.011756361,0.819,0.181,0.181,0.1403333333333333,False,Amd1,21,Amd1_casecontrol.csv
Neural Stem Cells,0.014504988,0.01799175,0.781,0.219,0.219,0.16,False,Amd1,21,Amd1_casecontrol.csv
Oligodendrocytes,0.0077533084,0.010225727,0.772,0.228,0.228,0.1736,False,Amd1,21,Amd1_casecontrol.csv
Neurons,0.008359776,0.013893271,0.727,0.273,0.273,0.1901666666666666,False,Amd1,21,Amd1_casecontrol.csv
Myocytes,-0.013474143,0.024885343,0.301,0.699,0.301,0.206,False,Amd1,21,Amd1_casecontrol.csv
Endothelial Cells,-0.00884721,0.030984128,0.395,0.605,0.395,0.229625,False,Amd1,21,Amd1_casecontrol.csv
Astrocytes,0.0031446773,0.016284652,0.6,0.4,0.4,0.2485555555555555,False,Amd1,21,Amd1_casecontrol.csv
GABAergic Neurons,-0.004589942,0.019310424,0.418,0.582,0.418,0.2655,False,Amd1,21,Amd1_casecontrol.csv
Excitatory Neurons,0.0022035297,0.01259135,0.568,0.432,0.432,0.2806363636363636,False,Amd1,21,Amd1_casecontrol.csv
Microglia,-0.0011256445,0.018106973,0.466,0.534,0.466,0.2960833333333333,False,Amd1,21,Amd1_casecontrol.csv
Oligodendrocytes,-0.10092297,0.011782947,0.0,1.0,0.0,0.0,True,Mal,21,Mal_casecontrol.csv
Medium Spiny Neurons,-0.009709998,0.012217272,0.215,0.785,0.215,0.1075,False,Mal,21,Mal_casecontrol.csv
Oligodendrocyte Precursor Cells,0.009128636,0.011787594,0.773,0.227,0.227,0.1473333333333333,False,Mal,21,Mal_casecontrol.csv
Neural Stem Cells,-0.012825109,0.017743262,0.23,0.77,0.23,0.168,False,Mal,21,Mal_casecontrol.csv
Endocrine Cells,0.017113626,0.031311482,0.72,0.28,0.28,0.1904,False,Mal,21,Mal_casecontrol.csv
Neurons,0.0049559656,0.014040213,0.651,0.349,0.349,0.2168333333333333,False,Mal,21,Mal_casecontrol.csv
Microglia,-0.0065926225,0.018171476,0.359,0.641,0.359,0.2371428571428571,False,Mal,21,Mal_casecontrol.csv
Excitatory Neurons,0.0044711195,0.012380149,0.639,0.361,0.361,0.252625,False,Mal,21,Mal_casecontrol.csv
Astrocytes,-0.005357328,0.016314575,0.385,0.615,0.385,0.2673333333333333,False,Mal,21,Mal_casecontrol.csv
Endothelial Cells,0.0052388776,0.03044332,0.568,0.432,0.432,0.2837999999999999,False,Mal,21,Mal_casecontrol.csv
Myocytes,0.00083259057,0.024755944,0.525,0.475,0.475,0.3011818181818181,False,Mal,21,Mal_casecontrol.csv
GABAergic Neurons,-0.0007981864,0.019092869,0.503,0.497,0.497,0.3174999999999999,False,Mal,21,Mal_casecontrol.csv
Myocytes,0.07502581,0.02527747,0.999,0.001,0.001,0.001,True,Amfr,21,Amfr_casecontrol.csv
Neural Stem Cells,0.03113603,0.017186237,0.976,0.024,0.024,0.0125,True,Amfr,21,Amfr_casecontrol.csv
Endocrine Cells,0.044620328,0.03190556,0.919,0.081,0.081,0.0353333333333333,True,Amfr,21,Amfr_casecontrol.csv
Medium Spiny Neurons,-0.014002691,0.011748363,0.11,0.89,0.11,0.054,False,Amfr,21,Amfr_casecontrol.csv
Oligodendrocyte Precursor Cells,0.011983198,0.011937517,0.835,0.165,0.165,0.0762,False,Amfr,21,Amfr_casecontrol.csv
Neurons,0.01146528,0.013613839,0.799,0.201,0.201,0.097,False,Amfr,21,Amfr_casecontrol.csv
Excitatory Neurons,0.00512233,0.012816531,0.654,0.346,0.346,0.1325714285714286,False,Amfr,21,Amfr_casecontrol.csv
Endothelial Cells,-0.011866178,0.030509861,0.352,0.648,0.352,0.16,False,Amfr,21,Amfr_casecontrol.csv
Astrocytes,0.0037221033,0.01674578,0.612,0.388,0.388,0.1853333333333333,False,Amfr,21,Amfr_casecontrol.csv
Oligodendrocytes,0.0018778756,0.010075297,0.58,0.42,0.42,0.2088,False,Amfr,21,Amfr_casecontrol.csv
GABAergic Neurons,0.00064938323,0.019769222,0.53,0.47,0.47,0.2325454545454545,False,Amfr,21,Amfr_casecontrol.csv
Microglia,0.0005860191,0.018447401,0.495,0.505,0.495,0.2544166666666667,False,Amfr,21,Amfr_casecontrol.csv
Oligodendrocyte Precursor Cells,0.013095011,0.011614811,0.873,0.127,0.127,0.127,False,Acan,21,Acan_casecontrol.csv
Medium Spiny Neurons,-0.013751303,0.0123691,0.128,0.872,0.128,0.1275,False,Acan,21,Acan_casecontrol.csv
Neurons,0.009082929,0.014207398,0.738,0.262,0.262,0.1723333333333333,False,Acan,21,Acan_casecontrol.csv
Neural Stem Cells,0.00879396,0.018370036,0.682,0.318,0.318,0.20875,False,Acan,21,Acan_casecontrol.csv
Excitatory Neurons,0.004735614,0.0122855725,0.65,0.35,0.35,0.237,False,Acan,21,Acan_casecontrol.csv
Myocytes,0.008961931,0.024660662,0.637,0.363,0.363,0.258,False,Acan,21,Acan_casecontrol.csv
Endocrine Cells,0.0071609844,0.03106115,0.599,0.401,0.401,0.2784285714285714,False,Acan,21,Acan_casecontrol.csv
Endothelial Cells,-0.008102445,0.031281386,0.401,0.599,0.401,0.29375,False,Acan,21,Acan_casecontrol.csv
Astrocytes,0.0023450414,0.015978998,0.578,0.422,0.422,0.308,False,Acan,21,Acan_casecontrol.csv
Microglia,-0.0026285006,0.017938348,0.431,0.569,0.431,0.3203,False,Acan,21,Acan_casecontrol.csv
Oligodendrocytes,-0.001732584,0.010717602,0.452,0.548,0.452,0.3322727272727273,False,Acan,21,Acan_casecontrol.csv
GABAergic Neurons,-0.002129387,0.018917965,0.476,0.524,0.476,0.34425,False,Acan,21,Acan_casecontrol.csv
Oligodendrocytes,-0.07118695,0.012176399,0.0,1.0,0.0,0.0,True,Car2,21,Car2_casecontrol.csv
Endocrine Cells,0.07553624,0.031264104,0.99,0.01,0.01,0.005,True,Car2,21,Car2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.014996703,0.011902133,0.899,0.101,0.101,0.037,True,Car2,21,Car2_casecontrol.csv
Myocytes,-0.025871677,0.02485815,0.157,0.843,0.157,0.067,False,Car2,21,Car2_casecontrol.csv
Neural Stem Cells,0.017745953,0.01756661,0.842,0.158,0.158,0.0852,False,Car2,21,Car2_casecontrol.csv
Endothelial Cells,-0.022538552,0.029760813,0.229,0.771,0.229,0.1091666666666666,False,Car2,21,Car2_casecontrol.csv
Microglia,-0.011144919,0.018418783,0.281,0.719,0.281,0.1337142857142857,False,Car2,21,Car2_casecontrol.csv
Neurons,0.0078224065,0.013814209,0.718,0.282,0.282,0.15225,False,Car2,21,Car2_casecontrol.csv
Medium Spiny Neurons,0.0026855099,0.011915713,0.601,0.399,0.399,0.1796666666666666,False,Car2,21,Car2_casecontrol.csv
Excitatory Neurons,0.0022931779,0.012685305,0.569,0.431,0.431,0.2048,False,Car2,21,Car2_casecontrol.csv
GABAergic Neurons,-0.0038179252,0.019595023,0.436,0.564,0.436,0.2258181818181818,False,Car2,21,Car2_casecontrol.csv
Astrocytes,-0.0019696397,0.01747295,0.471,0.529,0.471,0.24625,False,Car2,21,Car2_casecontrol.csv
Medium Spiny Neurons,-0.013609856,0.012369789,0.128,0.872,0.128,0.128,False,Actg2,21,Actg2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012407626,0.011529583,0.854,0.146,0.146,0.137,False,Actg2,21,Actg2_casecontrol.csv
Neurons,0.0089807445,0.014209677,0.733,0.267,0.267,0.1803333333333333,False,Actg2,21,Actg2_casecontrol.csv
Neural Stem Cells,0.008698105,0.018371468,0.68,0.32,0.32,0.21525,False,Actg2,21,Actg2_casecontrol.csv
Excitatory Neurons,0.0045337714,0.012281835,0.642,0.358,0.358,0.2437999999999999,False,Actg2,21,Actg2_casecontrol.csv
Myocytes,0.008985981,0.024660435,0.638,0.362,0.362,0.2635,False,Actg2,21,Actg2_casecontrol.csv
Endocrine Cells,0.007951287,0.0310645,0.609,0.391,0.391,0.2817142857142857,False,Actg2,21,Actg2_casecontrol.csv
Endothelial Cells,-0.008057318,0.031268526,0.401,0.599,0.401,0.296625,False,Actg2,21,Actg2_casecontrol.csv
Astrocytes,0.002346827,0.015979223,0.578,0.422,0.422,0.3105555555555556,False,Actg2,21,Actg2_casecontrol.csv
Microglia,-0.0025485498,0.017938947,0.433,0.567,0.433,0.3228,False,Actg2,21,Actg2_casecontrol.csv
Oligodendrocytes,-0.001752033,0.010717835,0.452,0.548,0.452,0.3345454545454545,False,Actg2,21,Actg2_casecontrol.csv
GABAergic Neurons,-0.0023168183,0.018899856,0.472,0.528,0.472,0.346,False,Actg2,21,Actg2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.012806387,0.0116487425,0.865,0.135,0.135,0.135,False,Ache,21,Ache_casecontrol.csv
Medium Spiny Neurons,-0.013234502,0.0123330625,0.137,0.863,0.137,0.136,False,Ache,21,Ache_casecontrol.csv
Neurons,0.009287038,0.013989466,0.749,0.251,0.251,0.1743333333333333,False,Ache,21,Ache_casecontrol.csv
Myocytes,0.01244655,0.024712587,0.683,0.317,0.317,0.21,False,Ache,21,Ache_casecontrol.csv
Excitatory Neurons,0.005128426,0.012323796,0.655,0.345,0.345,0.237,False,Ache,21,Ache_casecontrol.csv
Neural Stem Cells,0.0072397473,0.018333523,0.651,0.349,0.349,0.2556666666666666,False,Ache,21,Ache_casecontrol.csv
Endothelial Cells,-0.0082064355,0.031268172,0.4,0.6,0.4,0.2762857142857143,False,Ache,21,Ache_casecontrol.csv
Astrocytes,0.002473753,0.016010402,0.581,0.419,0.419,0.294125,False,Ache,21,Ache_casecontrol.csv
Endocrine Cells,0.004813964,0.031057071,0.566,0.434,0.434,0.3096666666666667,False,Ache,21,Ache_casecontrol.csv
Microglia,-0.0020461949,0.017963365,0.445,0.555,0.445,0.3232,False,Ache,21,Ache_casecontrol.csv
Oligodendrocytes,-0.0013650188,0.010696192,0.466,0.534,0.466,0.3361818181818182,False,Ache,21,Ache_casecontrol.csv
GABAergic Neurons,-0.0014360021,0.01907681,0.493,0.507,0.493,0.34925,False,Ache,21,Ache_casecontrol.csv
Medium Spiny Neurons,-0.013315245,0.012356287,0.135,0.865,0.135,0.135,False,Ackr3,21,Ackr3_casecontrol.csv
Oligodendrocyte Precursor Cells,0.011164371,0.011705075,0.828,0.172,0.172,0.1535,False,Ackr3,21,Ackr3_casecontrol.csv
Neurons,0.009379666,0.014198169,0.746,0.254,0.254,0.1869999999999999,False,Ackr3,21,Ackr3_casecontrol.csv
Excitatory Neurons,0.005247528,0.012299254,0.658,0.342,0.342,0.22575,False,Ackr3,21,Ackr3_casecontrol.csv
Endocrine Cells,0.011391221,0.03110842,0.649,0.351,0.351,0.2508,False,Ackr3,21,Ackr3_casecontrol.csv
Neural Stem Cells,0.0065401206,0.01831215,0.64,0.36,0.36,0.2689999999999999,False,Ackr3,21,Ackr3_casecontrol.csv
Astrocytes,0.0020625065,0.016062215,0.57,0.43,0.43,0.292,False,Ackr3,21,Ackr3_casecontrol.csv
Microglia,-0.0026803967,0.017945245,0.431,0.569,0.431,0.309375,False,Ackr3,21,Ackr3_casecontrol.csv
Oligodendrocytes,-0.0016406782,0.010712513,0.455,0.545,0.455,0.3255555555555556,False,Ackr3,21,Ackr3_casecontrol.csv
GABAergic Neurons,-0.0024571798,0.018929832,0.47,0.53,0.47,0.34,False,Ackr3,21,Ackr3_casecontrol.csv
Myocytes,-0.0025268034,0.024691496,0.47,0.53,0.47,0.3518181818181818,False,Ackr3,21,Ackr3_casecontrol.csv
Endothelial Cells,-0.002119784,0.03101079,0.472,0.528,0.472,0.3618333333333334,False,Ackr3,21,Ackr3_casecontrol.csv
Medium Spiny Neurons,-0.03232084,0.010041567,0.0,1.0,0.0,0.0,True,Pde10a,21,Pde10a_casecontrol.csv
Myocytes,0.023855727,0.024749625,0.826,0.174,0.174,0.087,False,Pde10a,21,Pde10a_casecontrol.csv
Oligodendrocyte Precursor Cells,0.010218852,0.011736419,0.807,0.193,0.193,0.1223333333333333,False,Pde10a,21,Pde10a_casecontrol.csv
Neurons,0.011114505,0.014021022,0.784,0.216,0.216,0.14575,False,Pde10a,21,Pde10a_casecontrol.csv
Excitatory Neurons,0.0062473123,0.012453439,0.689,0.311,0.311,0.1788,False,Pde10a,21,Pde10a_casecontrol.csv
Endocrine Cells,-0.014946137,0.031108418,0.329,0.671,0.329,0.2038333333333333,False,Pde10a,21,Pde10a_casecontrol.csv
Neural Stem Cells,0.007999993,0.018178105,0.667,0.333,0.333,0.2222857142857142,False,Pde10a,21,Pde10a_casecontrol.csv
GABAergic Neurons,-0.008319104,0.019369386,0.345,0.655,0.345,0.2376249999999999,False,Pde10a,21,Pde10a_casecontrol.csv
Microglia,-0.0058699986,0.017980196,0.367,0.633,0.367,0.252,False,Pde10a,21,Pde10a_casecontrol.csv
Endothelial Cells,-0.008847806,0.031224685,0.395,0.605,0.395,0.2663,False,Pde10a,21,Pde10a_casecontrol.csv
Astrocytes,0.0030430884,0.016074467,0.599,0.401,0.401,0.2785454545454545,False,Pde10a,21,Pde10a_casecontrol.csv
Oligodendrocytes,-0.003132656,0.010616218,0.409,0.591,0.409,0.2894166666666666,False,Pde10a,21,Pde10a_casecontrol.csv
Medium Spiny Neurons,-0.013669436,0.012358687,0.128,0.872,0.128,0.128,False,Adgra3,21,Adgra3_casecontrol.csv
Oligodendrocyte Precursor Cells,0.011468991,0.011617164,0.833,0.167,0.167,0.1475,False,Adgra3,21,Adgra3_casecontrol.csv
Neural Stem Cells,0.013043621,0.018232532,0.758,0.242,0.242,0.179,False,Adgra3,21,Adgra3_casecontrol.csv
Neurons,0.00891067,0.014187732,0.732,0.268,0.268,0.20125,False,Adgra3,21,Adgra3_casecontrol.csv
Endocrine Cells,0.010079507,0.03113535,0.635,0.365,0.365,0.2339999999999999,False,Adgra3,21,Adgra3_casecontrol.csv
Excitatory Neurons,0.0042321687,0.012298905,0.632,0.368,0.368,0.2563333333333333,False,Adgra3,21,Adgra3_casecontrol.csv
Endothelial Cells,-0.008931571,0.031205522,0.395,0.605,0.395,0.2761428571428571,False,Adgra3,21,Adgra3_casecontrol.csv
Myocytes,0.00518736,0.02468188,0.586,0.414,0.414,0.293375,False,Adgra3,21,Adgra3_casecontrol.csv
Astrocytes,0.0019466174,0.016053732,0.565,0.435,0.435,0.3091111111111111,False,Adgra3,21,Adgra3_casecontrol.csv
Microglia,-0.002348264,0.017961843,0.436,0.564,0.436,0.3218,False,Adgra3,21,Adgra3_casecontrol.csv
Oligodendrocytes,-0.0015282433,0.010700363,0.458,0.542,0.458,0.3341818181818182,False,Adgra3,21,Adgra3_casecontrol.csv
GABAergic Neurons,-0.002684182,0.018958962,0.465,0.535,0.465,0.3450833333333333,False,Adgra3,21,Adgra3_casecontrol.csv
Endocrine Cells,-0.2303911,0.032258,0.0,1.0,0.0,0.0,True,Gpc4,21,Gpc4_casecontrol.csv
Neural Stem Cells,0.04996249,0.017623838,1.0,0.0,0.0,0.0,True,Gpc4,21,Gpc4_casecontrol.csv
Myocytes,-0.05618631,0.024878193,0.009,0.991,0.009,0.0029999999999999,True,Gpc4,21,Gpc4_casecontrol.csv
Medium Spiny Neurons,-0.013663845,0.012354344,0.128,0.872,0.128,0.03425,True,Gpc4,21,Gpc4_casecontrol.csv
Oligodendrocyte Precursor Cells,0.010988485,0.011645949,0.827,0.173,0.173,0.062,False,Gpc4,21,Gpc4_casecontrol.csv
Neurons,0.010452949,0.014127886,0.77,0.23,0.23,0.09,False,Gpc4,21,Gpc4_casecontrol.csv
Endothelial Cells,-0.011514768,0.031005764,0.357,0.643,0.357,0.1281428571428571,False,Gpc4,21,Gpc4_casecontrol.csv
Astrocytes,0.003210842,0.016262656,0.6,0.4,0.4,0.162125,False,Gpc4,21,Gpc4_casecontrol.csv
Microglia,-0.0036807866,0.01795612,0.411,0.589,0.411,0.1897777777777778,False,Gpc4,21,Gpc4_casecontrol.csv
Excitatory Neurons,0.0018467443,0.012445718,0.564,0.436,0.436,0.2144,False,Gpc4,21,Gpc4_casecontrol.csv
Oligodendrocytes,-0.0017176181,0.010698623,0.452,0.548,0.452,0.236,False,Gpc4,21,Gpc4_casecontrol.csv
GABAergic Neurons,-0.00023558876,0.01902789,0.511,0.489,0.489,0.2570833333333333,False,Gpc4,21,Gpc4_casecontrol.csv
Myocytes,0.04650311,0.025047157,0.967,0.033,0.033,0.033,True,Aplp2,21,Aplp2_casecontrol.csv
Endocrine Cells,0.0398448,0.031554304,0.902,0.098,0.098,0.0655,False,Aplp2,21,Aplp2_casecontrol.csv
Oligodendrocyte Precursor Cells,0.014321366,0.01191636,0.888,0.112,0.112,0.081,False,Aplp2,21,Aplp2_casecontrol.csv
Excitatory Neurons,0.011409863,0.012731229,0.812,0.188,0.188,0.10775,False,Aplp2,21,Aplp2_casecontrol.csv
Medium Spiny Neurons,-0.010565883,0.011952109,0.195,0.805,0.195,0.1252,False,Aplp2,21,Aplp2_casecontrol.csv
Neurons,0.0107860165,0.013587794,0.784,0.216,0.216,0.1403333333333333,False,Aplp2,21,Aplp2_casecontrol.csv
Oligodendrocytes,0.007489779,0.01000164,0.768,0.232,0.232,0.1534285714285714,False,Aplp2,21,Aplp2_casecontrol.csv
Astrocytes,0.006986018,0.016526759,0.677,0.323,0.323,0.174625,False,Aplp2,21,Aplp2_casecontrol.csv
Neural Stem Cells,0.0065231165,0.017727977,0.644,0.356,0.356,0.1947777777777778,False,Aplp2,21,Aplp2_casecontrol.csv
GABAergic Neurons,0.006003174,0.01988326,0.633,0.367,0.367,0.212,False,Aplp2,21,Aplp2_casecontrol.csv
Microglia,0.003180239,0.018184915,0.56,0.44,0.44,0.2327272727272727,False,Aplp2,21,Aplp2_casecontrol.csv
Endothelial Cells,-0.0033149002,0.030513598,0.46,0.54,0.46,0.2516666666666666,False,Aplp2,21,Aplp2_casecontrol.csv
Endocrine Cells,-0.06269802,0.031318672,0.023,0.977,0.023,0.023,True,Vamp3,21,Vamp3_casecontrol.csv
Oligodendrocytes,-0.011632641,0.009935159,0.114,0.886,0.114,0.0685,False,Vamp3,21,Vamp3_casecontrol.csv
Medium Spiny Neurons,-0.013282624,0.012223908,0.133,0.867,0.133,0.09,False,Vamp3,21,Vamp3_casecontrol.csv
Neurons,0.009781728,0.014037329,0.757,0.243,0.243,0.12825,False,Vamp3,21,Vamp3_casecontrol.csv
Oligodendrocyte Precursor Cells,0.007701583,0.011865414,0.742,0.258,0.258,0.1542,False,Vamp3,21,Vamp3_casecontrol.csv
Neural Stem Cells,0.007458355,0.017789835,0.661,0.339,0.339,0.185,False,Vamp3,21,Vamp3_casecontrol.csv
Excitatory Neurons,0.0036021832,0.012415914,0.607,0.393,0.393,0.2147142857142857,False,Vamp3,21,Vamp3_casecontrol.csv
Endothelial Cells,-0.008892303,0.030676512,0.394,0.606,0.394,0.237125,False,Vamp3,21,Vamp3_casecontrol.csv
Microglia,-0.004391894,0.018226393,0.399,0.601,0.399,0.2551111111111111,False,Vamp3,21,Vamp3_casecontrol.csv
GABAergic Neurons,-0.0025429474,0.019116959,0.47,0.53,0.47,0.2766,False,Vamp3,21,Vamp3_casecontrol.csv
Astrocytes,0.0002536546,0.016321784,0.525,0.475,0.475,0.2946363636363636,False,Vamp3,21,Vamp3_casecontrol.csv
Myocytes,-0.0019496098,0.024879001,0.484,0.516,0.484,0.3104166666666667,False,Vamp3,21,Vamp3_casecontrol.csv
Oligodendrocyte Precursor Cells,0.015229704,0.011799132,0.902,0.098,0.098,0.098,False,Ap2a2,21,Ap2a2_casecontrol.csv
Medium Spiny Neurons,-0.011084053,0.012112566,0.185,0.815,0.185,0.1415,False,Ap2a2,21,Ap2a2_casecontrol.csv
Neurons,0.009657525,0.013777492,0.758,0.242,0.242,0.175,False,Ap2a2,21,Ap2a2_casecontrol.csv
Endocrine Cells,-0.02019242,0.031177716,0.26,0.74,0.26,0.19625,False,Ap2a2,21,Ap2a2_casecontrol.csv
Excitatory Neurons,0.00746623,0.01267864,0.722,0.278,0.278,0.2126,False,Ap2a2,21,Ap2a2_casecontrol.csv
Myocytes,0.00949258,0.024764977,0.644,0.356,0.356,0.2365,False,Ap2a2,21,Ap2a2_casecontrol.csv
Astrocytes,0.0031879647,0.016200894,0.6,0.4,0.4,0.2598571428571428,False,Ap2a2,21,Ap2a2_casecontrol.csv
Endothelial Cells,-0.00747414,0.031054625,0.407,0.593,0.407,0.27825,False,Ap2a2,21,Ap2a2_casecontrol.csv
Neural Stem Cells,0.002855851,0.018071137,0.568,0.432,0.432,0.2953333333333333,False,Ap2a2,21,Ap2a2_casecontrol.csv
GABAergic Neurons,0.00050750043,0.019427627,0.527,0.473,0.473,0.3131,False,Ap2a2,21,Ap2a2_casecontrol.csv
