,cell_type,gene,effect,age,sex,mean,hdi_2.5%,hdi_97.5%,FC,FC_ratio,term
170,Microglia,Camk2d,mtDSB_at_age×sex,60,female,-0.9228319548074222,-1.7773702201270114,0.05982888072501854,0.44629729030743853,,"beta[60] (mtDSB effect @ age, sex=female)"
171,Microglia,Camk2d,mtDSB_at_age×sex,60,male,-1.3067770492665676,-2.2192121964876836,-0.20085957363608686,0.3118457401246775,,"beta[60] (mtDSB effect @ age, sex=male)"
172,Microglia,Camk2d,age_interaction(old-young) within sex,60-21,female,-0.8392614766458126,-1.6569255041033724,0.03899010305730841,,0.47616500238291476,age_interaction(60-21) (within sex=female)
173,Microglia,Camk2d,age_interaction(old-young) within sex,60-21,male,-1.183535866732747,-2.1403662335355276,-0.07297363187210591,,0.35374688741754745,age_interaction(60-21) (within sex=male)
174,Microglia,Camk2d,sex_interaction(sex2-sex1) within age,21,male-female,-0.03967070437221102,-0.787416087833004,0.7079795986239111,,1.0320303213197688,sex_interaction(male-female) (within age=21)
175,Microglia,Camk2d,sex_interaction(sex2-sex1) within age,60,male-female,-0.3839450944591454,-1.3382489018801755,0.5742914941864371,,0.767170936115189,sex_interaction(male-female) (within age=60)
176,Microglia,Zbtb46,mtDSB_at_age×sex,21,female,0.042397919755865265,-0.7106612801627584,0.8401567415692411,1.124925596430942,,"beta[21] (mtDSB effect @ age, sex=female)"
177,Microglia,Zbtb46,mtDSB_at_age×sex,21,male,0.4998784480902243,-0.5250781032862095,1.4178862254918896,1.8585883699430115,,"beta[21] (mtDSB effect @ age, sex=male)"
178,Microglia,Zbtb46,mtDSB_at_age×sex,60,female,-0.5002145650677005,-1.5341890880152083,0.6803607359415206,0.7136362685535278,,"beta[60] (mtDSB effect @ age, sex=female)"
179,Microglia,Zbtb46,mtDSB_at_age×sex,60,male,-0.21448149723374513,-1.4101454848147812,1.0662385100686704,0.9813850803641933,,"beta[60] (mtDSB effect @ age, sex=male)"
180,Microglia,Zbtb46,age_interaction(old-young) within sex,60-21,female,-0.5426124848235657,-1.4511751841008302,0.38502480356031743,,0.6503647801765053,age_interaction(60-21) (within sex=female)
181,Microglia,Zbtb46,age_interaction(old-young) within sex,60-21,male,-0.7143599453239694,-1.812492847253834,0.4829587286137708,,0.5838429428529969,age_interaction(60-21) (within sex=male)
182,Microglia,Zbtb46,sex_interaction(sex2-sex1) within age,21,male-female,0.45748052833435904,-0.4119525421765264,1.3015768823462983,,1.734630165280356,sex_interaction(male-female) (within age=21)
183,Microglia,Zbtb46,sex_interaction(sex2-sex1) within age,60,male-female,0.2857330678339554,-0.797107256688042,1.3713870372026076,,1.5554113599941506,sex_interaction(male-female) (within age=60)
184,Microglia,Neurod2,mtDSB_at_age×sex,21,female,0.07516726919446094,-0.6993852585895594,0.831953790577736,1.1651635185084566,,"beta[21] (mtDSB effect @ age, sex=female)"
185,Microglia,Neurod2,mtDSB_at_age×sex,21,male,0.08128036550627635,-0.9408490733872854,1.0515913568068775,1.2265964279400143,,"beta[21] (mtDSB effect @ age, sex=male)"
186,Microglia,Neurod2,mtDSB_at_age×sex,60,female,-0.22706517672373566,-1.297183682912662,0.8692851930864411,0.9245190807656363,,"beta[60] (mtDSB effect @ age, sex=female)"
187,Microglia,Neurod2,mtDSB_at_age×sex,60,male,-0.42828722719380463,-1.7016459525777736,0.8514599003047314,0.8032920859524879,,"beta[60] (mtDSB effect @ age, sex=male)"
188,Microglia,Neurod2,age_interaction(old-young) within sex,60-21,female,-0.3022324459181966,-1.179114484900257,0.5907047015846635,,0.8210638650120364,age_interaction(60-21) (within sex=female)
189,Microglia,Neurod2,age_interaction(old-young) within sex,60-21,male,-0.509567592700081,-1.655669500204573,0.6766252907659902,,0.718596423873091,age_interaction(60-21) (within sex=male)
190,Microglia,Neurod2,sex_interaction(sex2-sex1) within age,21,male-female,0.0061130963118154165,-0.8395023006595961,0.8310853337753394,,1.1004962649643173,sex_interaction(male-female) (within age=21)
