,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta
Ctdsp1,-0.032621289594595086,0.11734664751156215,0.0,0.1659532204098662,0.0,1.0,1.0
Ctdspl2,-0.028289509368555413,0.14137814757090617,0.0,0.19993889371796034,0.0,1.0,1.0
Cth,0.10066139165761041,0.39444449275692545,0.0,0.55782875126022,0.0,1.0,1.0
Ctla4,-2.4396044479210874,3.048771134121126,0.0,4.311613486445699,0.0,1.0,1.0
Ctnna1,-0.05184439018452847,0.14742556224952374,0.0,0.20849122957375546,0.0,1.0,1.0
Ctnna3,0.5923014850431617,0.7196321310599332,0.0,1.01771351966441,0.0,1.0,1.0
Ctnnal1,0.20838628383159621,0.13726193758957084,0.0,0.19411769373678042,0.0,1.0,1.0
Ctnnb1,-0.04860249614019831,0.07936656038565262,0.0,0.11224126609629316,0.0,1.0,1.0
Ctnnbip1,0.17035269979277506,0.16093878051610375,0.0,0.22760180611766073,0.0,1.0,1.0
Ctnnd1,-0.1133602551673589,0.08744311478264881,0.0,0.12366323886176922,0.0,1.0,1.0
Ctps,0.07274619253676116,0.12362315343134725,0.0,0.1748295402059413,0.0,1.0,1.0
Ctr9,0.025913301924698106,0.12304779215813301,0.0,0.1740158564900975,0.0,1.0,1.0
Ctsk,0.22642026007675922,0.7016928059916017,0.0,0.992343482852956,0.0,1.0,1.0
Ctsl,0.05269812338121849,0.14491256379649467,0.0,0.20493731307925914,0.0,1.0,1.0
Ctsq,-1.7912034581760776,3.694329641231315,0.0,5.224571082506256,0.0,1.0,1.0
Ctss,-0.12807133686424027,0.15979352251369106,0.0,0.2259821667182324,0.0,1.0,1.0
Cttn,0.03580222387496262,0.12813564307443875,0.0,0.18121116425926945,0.0,1.0,1.0
Cttnbp2,0.030032515425641424,0.08676173504433765,0.0,0.12269962239472336,0.0,1.0,1.0
Cubn,-0.24214559938104757,0.7181000017642949,0.0,1.0155467616352094,0.0,1.0,1.0
Cul1,0.004787986188465497,0.09336408369641966,0.0,0.13203675340201346,0.0,1.0,1.0
Cul3,-0.0868259016288126,0.08197375489896,0.0,0.11592839593675718,0.0,1.0,1.0
Cul4a,-0.0901049392093345,0.12325357279354346,0.0,0.17430687425556868,0.0,1.0,1.0
Cux1,-0.05913747071489526,0.12332081649363293,0.0,0.17440197120821935,0.0,1.0,1.0
Cux2,-0.036727807463057795,0.169054073339717,0.0,0.23907856329144367,0.0,1.0,1.0
Cwc27,0.10900858882016358,0.19062104538476976,0.0,0.26957886765687866,0.0,1.0,1.0
Cx3cl1,0.012269125741856516,0.14066363992603387,0.0,0.19892842731616267,0.0,1.0,1.0
Cx3cr1,-0.25714471610247785,0.24256011837464014,0.0,0.3430318090962395,0.0,1.0,1.0
Cxadr,-0.012238182567861973,0.11231693980472753,0.0,0.1588401395560882,0.0,1.0,1.0
Cxcl10,1.4014981115014813,1.9255330664440613,0.0,2.7231149773630454,0.0,1.0,1.0
Cxcl12,-0.651467692509519,0.19465931086718258,0.0,0.27528983747057,0.0,1.0,1.0
Cxcl13,0.5958945290846194,2.1435493324623094,0.0,3.0314365375839927,0.0,1.0,1.0
Cxcl14,-0.0958902395362537,0.12801408311240617,0.0,0.1810392525123214,0.0,1.0,1.0
Cxcl16,-0.2902923781323016,0.3419136527742456,0.0,0.48353892491386335,0.0,1.0,1.0
Cxcl3,1.4970368083304306,2.412425848345034,0.0,3.411685352948967,0.0,1.0,1.0
Cxcl5,-0.4529905377163452,1.1449994458377424,0.0,1.6192737452134134,0.0,1.0,1.0
Cxcl9,-1.979614327634462,3.7624838077058937,0.0,5.320955629066839,0.0,1.0,1.0
Cxcr1,0.021856978431288768,2.3928478306860956,0.0,3.383997854851316,0.0,1.0,1.0
Cxcr2,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Cxcr3,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Cxcr4,-0.46482093988370027,0.38770738222574774,0.0,0.5483010381758219,0.0,1.0,1.0
Cxcr5,-1.5930147685094767,2.621646036034361,0.0,3.707567379901457,0.0,1.0,1.0
Cxcr6,0.018385894722255117,2.369488963594372,0.0,3.3509634282085297,0.0,1.0,1.0
Cxxc1,0.16110870064137656,0.15719325439903908,0.0,0.22230483228468526,0.0,1.0,1.0
Cxxc5,-0.10341083049991874,0.11331522947184663,0.0,0.16025193434250495,0.0,1.0,1.0
Cyb561,-0.0065913818222833485,0.1841402336293304,0.0,0.26041361577714933,0.0,1.0,1.0
Cyb5a,-0.011854759444297557,0.11686370723613801,0.0,0.16527023972254518,0.0,1.0,1.0
Cyb5r3,0.1214603024381785,0.1569450394488343,0.0,0.2219538033357219,0.0,1.0,1.0
Cybb,2.0329240932957617,2.30638778619868,0.0,3.2617248873338314,0.0,1.0,1.0
Cybc1,0.048861548760291175,0.18908007187872344,0.0,0.26739960202537033,0.0,1.0,1.0
Cyct,0.11418766761405949,2.5211577928505213,0.0,3.5654555435318254,0.0,1.0,1.0
Cyfip1,-0.052323019704343894,0.09639262093669113,0.0,0.13631975184135733,0.0,1.0,1.0
Cyfip2,0.06364487183617802,0.07789681645508258,0.0,0.11016273429646546,0.0,1.0,1.0
Cygb,0.04558368154010874,0.18891534036849972,0.0,0.26716663648946176,0.0,1.0,1.0
Cyld,-0.028411301894476482,0.08777782463059855,0.0,0.12413659006819958,0.0,1.0,1.0
Cyp11a1,0.566067538680279,1.1881690964114935,0.0,1.6803248505377197,0.0,1.0,1.0
Cyp11b2,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Cyp17a1,-1.4764505668420076,2.4098327612241923,0.0,3.4080181739742574,0.0,1.0,1.0
Cyp19a1,-2.3005836331375207,2.2071128657194583,0.0,3.121328948388606,0.0,1.0,1.0
Cyp1a1,-0.8713810804494186,2.8802471347616216,0.0,4.073284560966133,0.0,1.0,1.0
Cyp1b1,-0.8089259539886007,1.192754940680559,0.0,1.6868102136979632,0.0,1.0,1.0
Cyp21a1,-0.9539182051565599,4.427946903845501,0.0,6.2620625648862625,0.0,1.0,1.0
Cyp24a1,0.13028469658756273,2.2969104137361858,0.0,3.248321858661711,0.0,1.0,1.0
Cyp26a1,-0.08513161525246687,1.9421132615588714,0.0,2.7465629141612022,0.0,1.0,1.0
Cyp26b1,0.04110533935952598,0.36863201777899673,0.0,0.5213243990680171,0.0,1.0,1.0
Cyp27a1,-0.17503840372546048,0.23643284556000743,0.0,0.3343665367814259,0.0,1.0,1.0
Cyp27b1,-0.6213808719797614,1.7360223251190765,0.0,2.4551063167658724,0.0,1.0,1.0
Cyp2a5,0.020981662147187854,2.362969612489484,0.0,3.3417436734581254,0.0,1.0,1.0
Cyp2e1,0.6572683594430218,3.1951540347818215,0.0,4.518630169859568,0.0,1.0,1.0
Cyp2r1,-0.08957400821327943,0.5126332377829292,0.0,0.7249728773958503,0.0,1.0,1.0
Cyp3a13,-0.17344585038107913,0.33511272037639017,0.0,0.4739209540800336,0.0,1.0,1.0
Cyp7a1,1.0606282917679457,2.8610746383527603,0.0,4.046170556520172,0.0,1.0,1.0
Cyp7b1,-0.12381597681004539,0.14254464585506652,0.0,0.20158857141190487,0.0,1.0,1.0
Cyp8b1,0.6616109903992625,3.095901817201249,0.0,4.3782663376615165,0.0,1.0,1.0
Cyren,0.2425229876890607,0.7813679435358865,0.0,1.1050211429520254,0.0,1.0,1.0
Cysltr1,0.257725685066123,1.1317722590936106,0.0,1.6005676783278204,0.0,1.0,1.0
D1Ertd622e,-0.032546059532022595,0.20942758370362213,0.0,0.296175329208689,0.0,1.0,1.0
Daam2,0.020443000730943565,0.21863458066112443,0.0,0.3091959891747166,0.0,1.0,1.0
Dab2,-0.08543503855373397,0.1579402502653383,0.0,0.22336124396984228,0.0,1.0,1.0
Dach1,-0.22398551633335315,0.2916951680045831,0.0,0.41251926267077993,0.0,1.0,1.0
Dact2,-0.038095956558097284,0.15971986128865925,0.0,0.2258779940147714,0.0,1.0,1.0
Dag1,0.10489349912143922,0.11464524045388512,0.0,0.16213285391140894,0.0,1.0,1.0
Dagla,0.2736747498418093,0.16671364084705306,0.0,0.23576869191849964,0.0,1.0,1.0
Daglb,0.1357459274166258,0.21153634512456512,0.0,0.29915756820999573,0.0,1.0,1.0
Dao,-0.4112786403042777,1.4584245231565995,0.0,2.0625237403455774,0.0,1.0,1.0
Dapk1,0.22178603945420347,0.1726345750829244,0.0,0.24414215741678807,0.0,1.0,1.0
Daxx,0.10869325581677683,0.26248781700810603,0.0,0.3712138307705707,0.0,1.0,1.0
Dazl,0.09673612789941953,0.5566885924837537,0.0,0.7872765575089135,0.0,1.0,1.0
Dbh,2.0029553439894374,3.509670053237034,0.0,4.963422988742517,0.0,1.0,1.0
Dbn1,-0.1292619404624182,0.09673622466536508,0.0,0.13680568089453002,0.0,1.0,1.0
Dbnl,-0.0938747011658144,0.12921062780136777,0.0,0.1827314222394364,0.0,1.0,1.0
Dbp,0.1790113727486974,0.28158403922714415,0.0,0.3982199672228249,0.0,1.0,1.0
Dbx2,0.01709794839947225,0.12012759211861906,0.0,0.16988606998937442,0.0,1.0,1.0
Dcaf1,0.11205953677582364,0.16922515085076054,0.0,0.23932050342777844,0.0,1.0,1.0
Dcaf11,-0.040932838569901084,0.23627326261305484,0.0,0.3341408524135221,0.0,1.0,1.0
Dcaf7,0.08370038241029758,0.08919092331924791,0.0,0.12613501339865912,0.0,1.0,1.0
Dcc,0.07265733523586147,0.1315102935209438,0.0,0.18598364068898526,0.0,1.0,1.0
Dct,-0.44184769967873977,0.7443611338816398,0.0,1.0526856108388303,0.0,1.0,1.0
Dctn1,0.0009558837445923465,0.09134545077098716,0.0,0.12918197534141393,0.0,1.0,1.0
Dctn2,-0.004166898202372191,0.09475024952558098,0.0,0.13399708791731155,0.0,1.0,1.0
Dctn3,0.05816974593442828,0.21519295338419422,0.0,0.3043287932030487,0.0,1.0,1.0
Dctn4,-0.2589716496610772,0.1404786771101455,0.0,0.19866685039339863,0.0,1.0,1.0
Dcx,-0.07384712324647819,0.14236660972849463,0.0,0.20133679030711452,0.0,1.0,1.0
Ddah1,-0.10210734001030707,0.09342419632908591,0.0,0.1321217655024,0.0,1.0,1.0
Ddb1,-0.010234773843687114,0.12499872380088066,0.0,0.17677489047853404,0.0,1.0,1.0
Ddc,0.8446283196288922,0.6236001393820896,0.0,0.8819037746119035,0.0,1.0,1.0
Ddit3,0.04019088596222908,0.16602974088502181,0.0,0.23480151131688862,0.0,1.0,1.0
Ddit4,0.31157768391607676,0.10496356440189668,0.0,0.14844089633218407,0.0,1.0,1.0
Ddr1,-0.09353539915123778,0.11504709021988051,0.0,0.16270115530051607,0.0,1.0,1.0
Ddx19b,0.17395304088501234,0.21460340427269575,0.0,0.3034950448538825,0.0,1.0,1.0
Ddx21,0.02549958045658903,0.14086676625870312,0.0,0.19921569133069864,0.0,1.0,1.0
Ddx4,-0.19375095195415595,1.526660247143919,0.0,2.1590236266467913,0.0,1.0,1.0
Ddx41,0.07303744815248563,0.189432348568339,0.0,0.26789779649753254,0.0,1.0,1.0
Ddx42,0.08662813808794013,0.10799038814809944,0.0,0.15272147152497698,0.0,1.0,1.0
Ddx56,0.018046929830167407,0.12891710356576974,0.0,0.18231631628456846,0.0,1.0,1.0
Ddx58,0.19291996116005117,0.18941260303135962,0.0,0.26786987209134,0.0,1.0,1.0
Ddx6,0.02840082217698304,0.08890177664136382,0.0,0.12572609824528033,0.0,1.0,1.0
Decr1,0.006876033034307357,0.14657723198287867,0.0,0.2072915094052944,0.0,1.0,1.0
Def6,-0.3633730216889629,0.5878008657845761,0.0,0.831275956367195,0.0,1.0,1.0
Defa5,0.9696559469615652,4.4278623964229755,0.0,6.261943053343206,0.0,1.0,1.0
Dek,-0.10965093820804594,0.09526033004148034,0.0,0.13471845070079866,0.0,1.0,1.0
Dennd1a,-0.020082612289666717,0.14642743081016468,0.0,0.2070796585551829,0.0,1.0,1.0
Derl2,0.005010262103242014,0.20655316884452762,0.0,0.2921102927310708,0.0,1.0,1.0
Des,-0.2449756797509171,0.5142295426814629,0.0,0.7272303934330392,0.0,1.0,1.0
Dffb,-0.04133719763527611,0.30041679576866465,0.0,0.4248535069407138,0.0,1.0,1.0
Dgat1,0.01749731848498003,0.17080043701637834,0.0,0.24154829448781387,0.0,1.0,1.0
Dgcr2,0.029705071569693074,0.08720797638657567,0.0,0.12333070295300794,0.0,1.0,1.0
Dgcr8,-0.09776577815627764,0.17376122688687196,0.0,0.24573548367800283,0.0,1.0,1.0
Dgka,0.12291505339166824,0.2875423835353802,0.0,0.40664633855282084,0.0,1.0,1.0
Dgkg,-0.023375103129926297,0.2142981419970067,0.0,0.3030633388035222,0.0,1.0,1.0
Dgkq,0.09303023981054608,0.16671885717716975,0.0,0.23577606892329647,0.0,1.0,1.0
Dglucy,0.6157969564925431,0.34490676445259544,0.0,0.487771824043083,0.0,1.0,1.0
Dhfr,-0.040560690920978554,0.22316338852648349,0.0,0.3156006906792893,0.0,1.0,1.0
Dhh,-0.02714447573901445,1.0843671746392791,0.0,1.533526764967063,0.0,1.0,1.0
Dhodh,-0.19301038071303725,0.2702728042542402,0.0,0.3822234653169553,0.0,1.0,1.0
Dhx33,0.13834215338044453,0.15468808004033704,0.0,0.21876198073049952,0.0,1.0,1.0
Dhx58,0.8121317622391679,0.6095671776130128,0.0,0.862058169757812,0.0,1.0,1.0
Diablo,0.042039735339188415,0.15699207253143224,0.0,0.2220203181590121,0.0,1.0,1.0
Diaph1,-0.06281952022526682,0.13814884322141102,0.0,0.1953719677098739,0.0,1.0,1.0
Diaph3,-0.033018461367910056,0.34922643114741797,0.0,0.49388075526783237,0.0,1.0,1.0
Dicer1,0.04551627033033973,0.13682674563637934,0.0,0.19350223937434136,0.0,1.0,1.0
Dio1,-0.06642146548508705,2.450758245215935,0.0,3.4658955484820626,0.0,1.0,1.0
Dio2,0.046376218114757964,0.1588524093606589,0.0,0.2246512317334866,0.0,1.0,1.0
Dio3,0.8374335891407104,2.8153235152756966,0.0,3.9814686977707874,0.0,1.0,1.0
Dip2a,0.012377201067613336,0.10341401362942801,0.0,0.1462495006141732,0.0,1.0,1.0
Diras1,-0.1483168197539903,0.19628988079100704,0.0,0.2775958115712402,0.0,1.0,1.0
Disc1,-0.38278337953671293,0.41635846528864406,0.0,0.588819788420048,0.0,1.0,1.0
Disp2,0.040826574580849956,0.10082799302527637,0.0,0.14259231520320567,0.0,1.0,1.0
Dixdc1,-0.09849311701164729,0.17128469439839974,0.0,0.24223313784514783,0.0,1.0,1.0
Dkk1,1.0245368944225186,2.737291360264692,0.0,3.8711145658530257,0.0,1.0,1.0
Dkk2,-0.7682516475211653,1.1763751080267602,0.0,1.663645632209559,0.0,1.0,1.0
Dkk3,-0.018739053436964664,0.15700339903078728,0.0,0.22203633624801422,0.0,1.0,1.0
Dkk4,-1.9020426198503482,2.2585899826717966,0.0,3.1941285853344685,0.0,1.0,1.0
Dlg1,-0.09188624785650883,0.09453658567430327,0.0,0.13369492160104574,0.0,1.0,1.0
Dlg3,0.11205589356168663,0.10658187355647492,0.0,0.15072953108670117,0.0,1.0,1.0
Dlg4,0.029094135450110244,0.09317377433864465,0.0,0.13176761532720152,0.0,1.0,1.0
Dlg5,0.15295764734988632,0.1694376238126463,0.0,0.23962098557211486,0.0,1.0,1.0
Dlgap4,0.008272609108420243,0.09435763384997474,0.0,0.13344184550406893,0.0,1.0,1.0
Dlk1,0.41680391270378514,0.316418731932954,0.0,0.4474836620884803,0.0,1.0,1.0
Dll1,0.18180653642682126,0.12043559179155047,0.0,0.17032164730404048,0.0,1.0,1.0
Dll3,0.05377541398609107,0.15120190458568042,0.0,0.21383178412171192,0.0,1.0,1.0
Dll4,-0.005155237113001468,0.6658868725640287,0.0,0.9417062461862542,0.0,1.0,1.0
Dlx1,0.055444316918835564,0.31863996348822915,0.0,0.4506249578791215,0.0,1.0,1.0
Dlx2,0.18561279377801512,0.38547138400284925,0.0,0.5451388591635568,0.0,1.0,1.0
Dlx3,1.852110912585306,2.305490634731263,0.0,3.260456123561107,0.0,1.0,1.0
Dlx4,0.007872184734328982,3.730928211743855,0.0,5.276329277288558,0.0,1.0,1.0
Dlx5,-0.2839740611252386,0.30923982970280356,0.0,0.43733116119165105,0.0,1.0,1.0
Dlx6,-0.1684205726773365,0.3588281244814747,0.0,0.5074596002026028,0.0,1.0,1.0
Dmap1,0.18724812334548127,0.16370498733490746,0.0,0.23151381331714188,0.0,1.0,1.0
Dmbx1,-0.03683703359090901,1.6568694519841267,0.0,2.3431672500776295,0.0,1.0,1.0
Dmc1,-0.3534421103968428,0.8764485230156924,0.0,1.23948538797066,0.0,1.0,1.0
Dmd,0.15028652127917397,0.13496220246326704,0.0,0.19086537713129578,0.0,1.0,1.0
Dmp1,-0.5789637741804596,0.38778489264139376,0.0,0.5484106544568537,0.0,1.0,1.0
Dmrt1,-1.979614327634462,3.7624838077058937,0.0,5.320955629066839,0.0,1.0,1.0
Dmrt2,-0.6525824826721328,1.5062930137901052,0.0,2.1302200090098102,0.0,1.0,1.0
Dmrta1,-0.6518573956909275,0.6692841783568102,0.0,0.9465107621139345,0.0,1.0,1.0
Dmrta2,-0.49164689247488125,0.23770058403109873,0.0,0.33615938972078535,0.0,1.0,1.0
Dnah11,-0.47298218938717396,1.0036416391138645,0.0,1.4193636177971904,0.0,1.0,1.0
Dnah12,0.9813527280652554,1.8919901009113982,0.0,2.67567806058454,0.0,1.0,1.0
Dnah5,-0.15309195241467013,0.2559437239123001,0.0,0.36195908556104983,0.0,1.0,1.0
Dnajb1,0.2312051581036192,0.11453341219232271,0.0,0.1619747048672508,0.0,1.0,1.0
Dnajb6,0.07144189956662941,0.10431492529630008,0.0,0.14752358211196384,0.0,1.0,1.0
Dnajc5,0.07468107717601256,0.1071871741140375,0.0,0.15158555534451817,0.0,1.0,1.0
Dnajc7,0.053068491390065545,0.10127471162680492,0.0,0.14322407070805168,0.0,1.0,1.0
Dner,-0.013456116709891863,0.07887915432171401,0.0,0.11155196983028828,0.0,1.0,1.0
Dnm1,0.10044086830867423,0.07349003067314387,0.0,0.10393059807717482,0.0,1.0,1.0
Dnm1l,0.09441199743290314,0.08441328483968542,0.0,0.1193784122647463,0.0,1.0,1.0
Dnm2,0.1338753208202861,0.11023400169452566,0.0,0.15589442023105693,0.0,1.0,1.0
Dnmt1,0.06299170798956044,0.18589838949909454,0.0,0.26290002365293563,0.0,1.0,1.0
Dnmt3a,0.010644535336389033,0.14737517885350823,0.0,0.2084199766917919,0.0,1.0,1.0
Dnmt3b,-0.22369251009905936,0.7440980611681768,0.0,1.0523135698395605,0.0,1.0,1.0
Dnmt3l,1.625542511209489,2.4803110504013683,0.0,3.5076895263814722,0.0,1.0,1.0
Dnttip1,0.01117944299855458,0.14384458927189966,0.0,0.20342696902230792,0.0,1.0,1.0
Dnttip2,-0.023978781008013796,0.18301508010612666,0.0,0.25882240840488274,0.0,1.0,1.0
Doc2a,0.17497810803169359,0.15998649762733996,0.0,0.22625507474115517,0.0,1.0,1.0
Dock2,0.7152764999026089,0.6475781890964749,0.0,0.9158138577172436,0.0,1.0,1.0
Dock3,-0.15518767949066142,0.1293446827573672,0.0,0.18292100457631413,0.0,1.0,1.0
Dock5,-0.12838047482953382,0.5296172983813162,0.0,0.7489919662382556,0.0,1.0,1.0
Dock7,0.025753183668625723,0.24548213047070971,0.0,0.3471641582319193,0.0,1.0,1.0
Dock8,-0.18521830294702105,0.5345525247387165,0.0,0.7559714302862723,0.0,1.0,1.0
Dot1l,0.12825780863964312,0.20440683457653844,0.0,0.28907491769989435,0.0,1.0,1.0
Dpf2,0.0018291091373879244,0.1097811767855574,0.0,0.15525402910341365,0.0,1.0,1.0
Dpf3,0.03335908999878016,0.16882132700069377,0.0,0.2387494102622043,0.0,1.0,1.0
Dpm1,-0.15648796885447877,0.13408695199891163,0.0,0.18962758605413102,0.0,1.0,1.0
Dpp10,0.08086014124256267,0.10802907048170023,0.0,0.15277617660577944,0.0,1.0,1.0
Dpp4,-0.055896082634426435,0.9965246049323174,0.0,1.4092986115337738,0.0,1.0,1.0
Dpp9,-0.15047656941484816,0.17079508071653643,0.0,0.24154071953593328,0.0,1.0,1.0
Dppa3,-2.4396044479210874,3.048771134121126,0.0,4.311613486445699,0.0,1.0,1.0
Dpy30,0.03240204106704695,0.11651395518620236,0.0,0.1647756156300584,0.0,1.0,1.0
Dpyd,0.004104684409990732,0.10991868917677054,0.0,0.15544850099206164,0.0,1.0,1.0
Dpysl2,0.01487811627771367,0.07308983651219994,0.0,0.10336463806718539,0.0,1.0,1.0
Dpysl3,-0.05202228363800227,0.09500265183479369,0.0,0.13435403868617443,0.0,1.0,1.0
Dpysl4,-0.09295782472830616,0.1455633417842845,0.0,0.20585765213568538,0.0,1.0,1.0
Dpysl5,-0.047156622212116875,0.1581578468298799,0.0,0.2236689719825428,0.0,1.0,1.0
Drc7,0.5195426359796587,0.9860533316347049,0.0,1.3944899948209748,0.0,1.0,1.0
Drd1,-0.16757480449626572,0.3441516537329223,0.0,0.4867039362222279,0.0,1.0,1.0
Drd2,-0.7404147250155261,0.46240005347706953,0.0,0.6539324268693162,0.0,1.0,1.0
Drd3,-0.5127417268375605,1.8829941124294038,0.0,2.6629558116663516,0.0,1.0,1.0
Drd4,0.5183036508627921,1.7990681323928186,0.0,2.544266552463159,0.0,1.0,1.0
Drd5,-0.11630347051708284,0.5182408078097795,0.0,0.7329031789797789,0.0,1.0,1.0
Drosha,-0.053956592705038414,0.10051694500090208,0.0,0.1421524268685862,0.0,1.0,1.0
Dsc1,0.7150220405884701,2.1034994549566655,0.0,2.97479745764413,0.0,1.0,1.0
Dsc3,0.3909055002669151,1.7353490245168905,0.0,2.4541541259227073,0.0,1.0,1.0
Dscam,-0.09750507341844816,0.0866117114242581,0.0,0.12248745695653053,0.0,1.0,1.0
Dscaml1,0.03264876385899243,0.11225601950072271,0.0,0.1587539852359407,0.0,1.0,1.0
Dsg1a,0.837123566416308,2.834621072460979,0.0,4.008759564862884,0.0,1.0,1.0
Dsg1b,2.0571716493683088,2.3329654424438435,0.0,3.2993113692518317,0.0,1.0,1.0
Dsg2,0.5666396830974822,0.9857720136068678,0.0,1.3940921510506676,0.0,1.0,1.0
Dsp,-0.06415855715554815,1.3562381431049257,0.0,1.9180103757866884,0.0,1.0,1.0
Dspp,1.0245368944225186,2.737291360264692,0.0,3.8711145658530257,0.0,1.0,1.0
Dst,0.015276066658570939,0.07284527974048863,0.0,0.10301878256386107,0.0,1.0,1.0
Dtl,-0.24389033707847604,0.30231786648376013,0.0,0.42754202692903215,0.0,1.0,1.0
Dtnbp1,-0.03419449175618102,0.1207505934326997,0.0,0.1707671268971235,0.0,1.0,1.0
Dusp1,0.11325481470988566,0.2497746124890775,0.0,0.35323464451853764,0.0,1.0,1.0
Dusp11,0.0012096483354836858,0.1637413427932512,0.0,0.23156522769939789,0.0,1.0,1.0
Dusp15,-0.07024485415954208,0.19177171752690503,0.0,0.2712061638061313,0.0,1.0,1.0
Dusp3,0.02926474942417959,0.1292262748925377,0.0,0.1827535505679806,0.0,1.0,1.0
Dusp4,0.3428793042015504,0.32522206227473077,0.0,0.4599334512518716,0.0,1.0,1.0
Dusp5,0.26581757018980606,0.417399894024261,0.0,0.5902925910622024,0.0,1.0,1.0
Dusp6,0.0920358517466607,0.10366669203361098,0.0,0.14660684184028755,0.0,1.0,1.0
Dusp7,0.03840216120943097,0.11308093197380771,0.0,0.15992058764314823,0.0,1.0,1.0
Dut,-0.07133404593230572,0.2673998789308617,0.0,0.37816053536094824,0.0,1.0,1.0
Duxbl1,-0.08042930542285431,0.3410107748993126,0.0,0.48226206277796646,0.0,1.0,1.0
Dvl1,0.00720077528721183,0.120254808781841,0.0,0.1700659815198627,0.0,1.0,1.0
Dvl2,0.14666534302632778,0.17572962110103713,0.0,0.24851921347177194,0.0,1.0,1.0
Dvl3,0.09916403310368524,0.13134414660903435,0.0,0.18574867347281654,0.0,1.0,1.0
Dxo,-0.1781688286660916,0.22454338244333955,0.0,0.3175522967924995,0.0,1.0,1.0
Dydc2,0.642724805911231,0.7227492577069499,0.0,1.0221218024442558,0.0,1.0,1.0
Dync1h1,0.08874041910139467,0.0810570676376974,0.0,0.11463200437942496,0.0,1.0,1.0
Dync1i1,0.28262468469763447,0.19036913527406216,0.0,0.26922261296181704,0.0,1.0,1.0
Dync1i2,0.014171851184341454,0.09669218657569338,0.0,0.1367434016308553,0.0,1.0,1.0
Dync1li1,0.010433690044779263,0.10909694557091235,0.0,0.1542863800398636,0.0,1.0,1.0
Dync2h1,0.15510059033455956,0.1449980876096935,0.0,0.20505826201579078,0.0,1.0,1.0
Dyrk1a,-0.01331965420490531,0.10467067148778252,0.0,0.14802668320072085,0.0,1.0,1.0
Dysf,0.28482239935515974,0.6034504253829045,0.0,0.853407775796317,0.0,1.0,1.0
E2f1,0.29995458328467156,0.2890301538279599,0.0,0.4087503634782828,0.0,1.0,1.0
E2f2,0.03344227088797318,0.34216690107099906,0.0,0.48389707208977994,0.0,1.0,1.0
E2f3,-0.007235394534098733,0.16220700744330777,0.0,0.22939534983827942,0.0,1.0,1.0
E2f4,0.15952717865882457,0.1432787293226716,0.0,0.20262672220770586,0.0,1.0,1.0
E2f5,-0.027041322601465724,0.12165616940918686,0.0,0.1720478047248309,0.0,1.0,1.0
Ebf2,-0.09024262357777511,1.013990058668441,0.0,1.4339984930803995,0.0,1.0,1.0
Ebf3,-0.16633534349835055,0.6422027042783467,0.0,0.9082117741831159,0.0,1.0,1.0
Ebi3,0.5276479410208041,0.8962065349973464,0.0,1.267427436480645,0.0,1.0,1.0
Ece1,0.088608679770122,0.10996516177108322,0.0,0.1555142231652173,0.0,1.0,1.0
Ecel1,0.0643766558142724,0.6970001729158067,0.0,0.9857070975139263,0.0,1.0,1.0
Echdc1,0.010784607899177802,0.1354955432168707,0.0,0.19161963485840838,0.0,1.0,1.0
Echs1,-0.0141471573213039,0.0946143975770982,0.0,0.1338049642492924,0.0,1.0,1.0
Eci3,0.007872521202022743,3.6038149263770376,0.0,5.096563945165004,0.0,1.0,1.0
Ecpas,0.05065294063805472,0.11302591506677431,0.0,0.15984278198706178,0.0,1.0,1.0
Ecscr,0.6370530866450643,1.4585382100365705,0.0,2.062684517873096,0.0,1.0,1.0
Ect2,0.11343757415345765,0.3377576822425336,0.0,0.4776614950230933,0.0,1.0,1.0
Eda,-0.181329900213527,0.5219947728028805,0.0,0.7382120871856961,0.0,1.0,1.0
Edar,-0.8032774616538695,1.0949523290120982,0.0,1.5484964338409166,0.0,1.0,1.0
Edc4,0.08922753067102221,0.10503384189013139,0.0,0.14854028370917513,0.0,1.0,1.0
Edil3,-0.016103910063134916,0.09781094462644795,0.0,0.13832556443924648,0.0,1.0,1.0
Edn1,-1.0041369005139005,0.6337796493090064,0.0,0.8962997756088609,0.0,1.0,1.0
Edn3,0.3087451938166055,0.9589754980118622,0.0,1.3561961552718687,0.0,1.0,1.0
Ednra,-0.24838903467461873,0.25541469432470315,0.0,0.3612109247433736,0.0,1.0,1.0
Ednrb,-0.04086647642124284,0.1067040148461585,0.0,0.15090226495509743,0.0,1.0,1.0
Eea1,-0.0028979306269065735,0.14101420146893598,0.0,0.1994241962045813,0.0,1.0,1.0
Eed,-0.004722528105766661,0.13408654178507687,0.0,0.18962700592416243,0.0,1.0,1.0
Eepd1,0.10774692714009367,0.2102971912853045,0.0,0.2974051400446467,0.0,1.0,1.0
Efcab14,-0.07309331588844818,0.11402322408704091,0.0,0.16125318992939983,0.0,1.0,1.0
