,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Agt,70.26361893707929,-0.01684131107452415,0.24914644466342858,-0.06759603211386397,0.946107214091019,0.9996638889971189
Agtr1a,3.993994704405374,0.15117284050879076,0.9756454829061417,0.15494648738442812,0.8768635045421163,0.9996638889971189
Agtr1b,0.8257609861235159,0.39552184970123916,2.242607702714811,0.176366936233402,0.8600056785361141,0.9996638889971189
Agtr2,2.7364604366895864,-0.340537281979642,1.175501601182744,-0.28969529402342514,0.7720493568498623,0.9996638889971189
Agtrap,8.504424039924638,0.5127340600830179,0.7342372234623347,0.6983220731648461,0.48497579809558455,0.9996638889971189
Agxt2,0.17278288956381826,-0.9539182051565599,4.427946903845501,-0.21543126552130032,0.8294310958674215,0.9996638889971189
Ahi1,1433.0109941851322,0.10827940389202992,0.09222946236015724,1.1740218485628535,0.24038627440729166,0.9996638889971189
Ahr,20.057562141922208,-0.07002007796585338,0.4630896604458409,-0.1512019894774618,0.879816380963344,0.9996638889971189
Aicda,0.0,,,,,
Aida,328.4534627975666,0.09360603226978789,0.12925318322702908,0.724206784953001,0.46893879372305414,0.9996638889971189
Aif1,71.59914828653241,-0.4026519491713156,0.2440418843045343,-1.6499296844834035,0.09895731852359965,0.9996638889971189
Aif1l,58.62824620811741,-0.4537336015762328,0.26598277298087497,-1.70587589749227,0.08803118818197124,0.9996638889971189
Aifm1,64.02752964113948,-0.040599041993997366,0.2495844871576843,-0.16266652810175422,0.870781002620936,0.9996638889971189
Aim2,8.551035466495607,-0.05160586986924741,0.6470044431143356,-0.07976122949147639,0.9364271604244951,0.9996638889971189
Aip,370.09066901172855,0.08407189914579823,0.12608098928275308,0.6668086887965006,0.504894342017356,0.9996638889971189
Aire,0.8031950440609433,0.7542329339234879,2.2739982662057985,0.3316770048298837,0.7401331661561195,0.9996638889971189
Ajuba,3.2919345235681376,-0.1938458795153504,1.0937532409574078,-0.17722999325302025,0.859327737356109,0.9996638889971189
Ak4,110.33361921410769,0.31149800662933036,0.21676839684361693,1.4370083977419188,0.15071560739725368,0.9996638889971189
Akap5,222.11812407555627,-0.10163835850846828,0.14777602572205473,-0.6877865202548842,0.4915872259434777,0.9996638889971189
Akap9,320.7205524043747,0.098180119774365,0.12487063601195375,0.7862546625050127,0.43171830772212016,0.9996638889971189
Akip1,52.249731014443846,0.10758526965540514,0.27241183799934277,0.39493610279764974,0.6928900450614615,0.9996638889971189
Akr1b3,223.6938123527153,-0.03227068750365656,0.14604275658196222,-0.22096739515831848,0.8251178203669876,0.9996638889971189
Akt1,558.6630814513039,-0.148250757654562,0.10670816601573535,-1.3893103329383498,0.1647384031563056,0.9996638889971189
Akt1s1,376.30426775936854,-0.015542782737479346,0.12314137913051854,-0.12621900816138681,0.8995585653589871,0.9996638889971189
Akt2,172.47572662407416,-0.07999058044222072,0.16114314440022526,-0.49639456112108055,0.6196160616360544,0.9996638889971189
Akt3,171.1114205109262,-0.16500395132351658,0.16559339675393747,-0.9964404049800561,0.3190362093708775,0.9996638889971189
Aldh1a2,4.87812572608631,0.5670780693838975,0.8912584497127093,0.6362666963400918,0.5246026078958229,0.9996638889971189
Aldh1a3,1.7411341739674382,-2.1347001384595115,1.6163982562341046,-1.3206523393764045,0.1866173125361955,0.9996638889971189
