,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Adar,416.7578373828453,0.09556573846438317,0.11307980692835679,0.8451176302850439,0.3980451657088284,0.9996638889971189,267.5103855573092,1.0,261.9825166485024,273.03825446611603,266.1949180000764,268.825853114542
Adarb1,667.9821330972169,-0.08384922528197915,0.11487481085859073,-0.7299182880500787,0.4654401329146719,0.9996638889971189,437.77508151890135,1.0,447.0391577942865,428.51100524351614,426.6258558068661,448.92430723093656
Adcy1,941.1157283813515,0.025594109886243974,0.09247293890798902,0.2767740507491627,0.7819536075773303,0.9996638889971189,629.4254122926891,1.0,626.1699921478954,632.6808324374829,601.0375382556477,657.8132863297305
Adcy2,259.11546910713184,-0.052678293390889926,0.14991775415969066,-0.3513812869340186,0.7253023193406893,0.9996638889971189,168.82035155929808,1.0,167.0487836919028,170.59191942669335,165.52812400178695,172.1125791168092
Adcy3,125.6948853210132,-0.06906626829558324,0.19209526666691404,-0.35954174974723113,0.7191898510791662,0.9996638889971189,76.65009511142652,1.0,78.3119136927143,74.98827653013873,80.35037569029717,72.94981453255586
Adcy8,132.66689268013798,-0.09881033973519102,0.18342992191841953,-0.5386816867268631,0.5901065121502032,0.9996638889971189,82.79115412413091,1.0,83.57431039387069,82.0079978543911,84.73794756913763,80.84436067912416
Adcyap1,110.67007459423449,0.07662306164487107,0.23972841179384802,0.31962444948228447,0.7492530378744955,0.9996638889971189,66.71450966857483,1.0,65.49714926608624,67.93187007106343,70.62645157635188,62.80256776079778
Adcyap1r1,1589.1475603746674,-0.01992488189536388,0.08803668720340657,-0.22632475764709245,0.8209488440900989,0.9996638889971189,982.5877288986363,1.0,993.7671979041385,971.4082598931345,1015.3678799286412,949.8075778686317
Add2,1158.8428554681288,0.048500140330474804,0.08393723451680471,0.577814370579064,0.5633894520344456,0.9996638889971189,752.9488291524091,1.0,739.0808958604722,766.816762444346,740.2061226684096,765.6915356364087
Adgra2,41.1681922459369,-0.06957590137891173,0.3043826489859422,-0.22858037937019554,0.8191950758473531,0.9996638889971189,26.448858720346916,1.0,26.114593898015343,26.783123542678485,26.30131055176503,26.596406888928787
Adgra3,147.08867318698344,-0.1624129583156302,0.17305296614815927,-0.9385158886937562,0.3479793555462486,0.9996638889971189,90.8922777242275,1.0,92.76949097161969,89.01506447683528,93.97027575798666,87.81427969046831
