,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Gucy2f,6.8851528156501445,-0.31269659213366824,0.880022078376767,-0.3553281216653661,0.7223437902096408,0.9998186074426537,0.745225090789892,1.0,0.7158313124410607,0.7746188691387234,0.7743065995798638,0.7161435819999201
Gusb,325.2246900334954,0.17246049542412273,0.17257251226890385,0.9993508998431536,0.3176247362831528,0.9998186074426537,31.38311618025098,1.0,28.938503401780405,33.82772895872156,28.45628338843036,34.309948972071595
Gyg,769.5914664218212,-0.17883332715154499,0.1336060913959785,-1.3385117795379784,0.18072966302580096,0.9998186074426537,76.66986287899488,1.0,78.17911958121434,75.1606061767754,72.49891489150188,80.84081086648786
Gys2,1.7926510002423512,-1.1141008781400967,1.808733843995883,-0.6159562291811865,0.5379234088114863,0.9998186074426537,0.24739065381317552,0.75,0.25087285186545843,0.2439084557608926,0.30689898720107694,0.1878823204252741
Gzma,4.866707044696407,0.05435055925394428,1.0844149319593113,0.050119707551189996,0.9600269951184797,0.9998186074426537,0.5445369291208532,0.9166666666666666,0.7499418568948797,0.33913200134682664,0.56765095294271,0.5214229052989964
Gzmb,3.2400436752973314,-1.2770600104681902,1.2471723049041894,-1.023964375609108,0.3058521016506459,0.9998186074426537,0.2772152174303401,0.75,0.4274016525000747,0.1270287823606055,0.2097239657786234,0.34470646908205677
Gzmk,15.750906285812109,0.4644939488895123,0.6260946649249717,0.7418909230685988,0.4581534257963059,0.9998186074426537,1.5408147921605515,1.0,1.3285456403530358,1.7530839439680672,1.4280023782822615,1.6536272060388422
H19,9.033370535018085,-0.26192887141350374,0.6725560140135052,-0.3894528722603083,0.6969411666193708,0.9998186074426537,1.2855939667051024,1.0,1.8629742157009268,0.7082137177092781,1.6259766959800304,0.945211237430175
H1foo,1.1785821532632426,0.378065781955551,1.79933963823557,0.21011362942367112,0.8335789881741362,,0.12795656784877593,0.8333333333333334,0.12200479988526762,0.13390833581228426,0.13279904036152057,0.12311409533603129
H2-Aa,67.84699862905443,0.616365280885096,0.5319620044070145,1.1586641071709003,0.24659312669688582,0.9998186074426537,6.880405224747345,1.0,6.957008802078207,6.803801647416482,6.543842994285458,7.2169674552092316
H2-Ab1,79.0126839670013,0.589515292779175,0.4252179037457255,1.3863839870949959,0.16562968337689932,0.9998186074426537,8.100408431047954,1.0,7.876517436930743,8.324299425165169,7.798355019892244,8.402461842203667
H2-D1,5566.8831585403195,0.8794471851721293,0.2905353571694663,3.0269885006084016,0.0024700335477510723,0.187086328866782,500.12402606869364,1.0,346.8167757964561,653.4312763409313,406.2936956225985,593.9543565147889
H2-DMa,190.99684026815623,-0.06020881557529244,0.17775626293219787,-0.3387155793113072,0.7348240031377046,0.9998186074426537,20.37699077914345,1.0,20.425379104873553,20.328602453413346,20.64026073821169,20.113720820075212
H2-DMb2,6.6318616392465755,0.15866282020905526,0.7749354391303164,0.20474327562966682,0.8377727074925467,0.9998186074426537,0.7042484378040036,1.0,0.6374474812408195,0.771049394367188,0.7083512089864649,0.7001456666215428
H2-Eb1,59.71715036935323,0.44146943259431903,0.44714817473130486,0.9873000887448591,0.3234955471793719,0.9998186074426537,6.2964517753953935,1.0,6.4696442671519145,6.123259283638871,6.305170830479931,6.287732720310854
H2-K1,3933.342121684064,0.2504685858505158,0.22995072063237262,1.0892272273020858,0.27605369499523436,0.9998186074426537,332.83185726295915,1.0,288.3185990179775,377.3451155079408,248.7510844733306,416.91263005258776
H2-T23,2540.377094507357,0.05853228745754032,0.1473293785518793,0.39728863335243936,0.6911546284100394,0.9998186074426537,256.56869829723354,1.0,249.49457506900362,263.6428215254635,245.31821472920618,267.8191818652609
H2afv,528.8923189660496,-0.006348658629242957,0.15909021451036934,-0.039906028468075,0.9681680449107496,0.9998186074426537,52.30655050780385,1.0,53.48457495305743,51.128526062550264,49.110094647304635,55.50300636830306
H2afx,474.07574557075026,-0.08979203437146524,0.14212714133876206,-0.6317726053283844,0.5275354768542697,0.9998186074426537,51.05538473804369,1.0,50.166443859509094,51.94432561657829,52.178418395064206,49.93235108102317
H2afy,2694.919486560057,0.09880663298614051,0.11282337494435908,0.8757638480046249,0.3811584272716161,0.9998186074426537,280.25928892033863,1.0,271.0324061993811,289.4861716412963,276.5501816440465,283.96839619663086
H2afz,1714.1563297305781,0.2446285197022417,0.13565198725614122,1.8033537484440125,0.07133267646513652,0.8006059709695867,174.19433236006782,1.0,159.93593541456366,188.45272930557192,167.42032797521006,180.96833674492552
Hace1,984.8821547540438,-0.029364619043004164,0.1265278014969297,-0.23208037044504187,0.8164755907997087,0.9998186074426537,107.51974432393281,1.0,107.99793242656061,107.04155622130503,111.38811285425383,103.65137579361182
Hacl1,726.239208215502,-0.2450001233598126,0.17338869412511024,-1.4130109497394938,0.1576525045813284,0.9998186074426537,71.1231373751826,1.0,73.89453865079837,68.35173609956685,65.87125667445754,76.37501807590769
Hadh,3792.8828375369267,-0.15585342010217765,0.14040517606637923,-1.110026171887673,0.266987748755694,0.9998186074426537,381.9186743742759,1.0,386.68639250130485,377.15095624724694,365.296695888129,398.54065286042265
Hadhb,4308.225802169303,0.2732633054426761,0.1188738154467335,2.2987678524134143,0.021518125214779055,0.5302772827599183,414.8605493613954,1.0,387.0337310988525,442.6873676239382,375.1080857779978,454.6130129447929
Hal,4.535000216117691,0.32149364201646663,0.9352470046454366,0.3437526561641849,0.7310323076547403,0.9998186074426537,0.4614921219248787,0.9166666666666666,0.4395537433146401,0.48343050053511744,0.4440745893762042,0.4789096544735532
Hamp,4.626038894322133,0.37261913572297034,0.9408182152794203,0.3960585899288775,0.6920618061255126,0.9998186074426537,0.6135124442459695,1.0,0.5587968902157294,0.6682279982762097,0.737680404525165,0.48934448396677416
Hand1,1.3480563663308234,0.509137776077068,1.641542401386228,0.3101581632293616,0.7564406836486968,,0.16516811323203795,0.9166666666666666,0.14767797100305186,0.18265825546102402,0.1891127930880255,0.14122343337605042
Hand2,1.2261315270566773,1.241181225915448,1.966403648996568,0.6311935123537874,0.5279140034190302,,0.14289965442037286,0.6666666666666666,0.10770995831209386,0.17808935052865182,0.15495284356796277,0.1308464652727829
Hao1,6.715415206464157,0.2693807938529299,0.754464906857307,0.3570488055899441,0.7210552689233409,0.9998186074426537,0.6954872423837881,1.0,0.6125308110936057,0.7784436736739705,0.6853480579893092,0.705626426778267
Hap1,1750.033355212323,0.01918430887360194,0.20315052784943968,0.09443396025935975,0.9247644399473376,0.9998186074426537,180.57298313985095,1.0,169.622456754985,191.52350952471696,176.34827191167903,184.7976943680229
Hapln1,287.33225943940977,0.13821597384632808,0.20145848536502645,0.6860767050635367,0.49266473974551284,0.9998186074426537,29.320615648003074,1.0,28.237223374597374,30.404007921408777,28.432212941491695,30.209018354514455
Has2,12.457131169230328,0.06517329108195014,0.6567012247670145,0.09924344378232644,0.920944981945707,0.9998186074426537,1.4336716713436652,1.0,1.3744650268375718,1.4928783158497587,1.5475297127074121,1.3198136299799181
Haspin,7.386599028602855,-0.5616315951723881,0.7403831909416739,-0.7585688087516731,0.4481105371536409,0.9998186074426537,0.6842774835762134,1.0,0.7290251529167139,0.6395298142357128,0.5889337293218431,0.7796212378305835
Hat1,1877.9308045297346,0.04889699973990097,0.13488961908017152,0.3624963883309588,0.7169811219761644,0.9998186074426537,196.36691911928168,1.0,191.77315731345448,200.96068092510893,194.9238931018924,197.80994513667108
Havcr1,2.205119607024208,0.13376241213369033,1.3842829845560802,0.09662938403926567,0.9230207205926221,0.9998186074426537,0.2083599016298624,0.8333333333333334,0.18911522212166218,0.22760458113806262,0.18610912916799674,0.23061067409172806
Havcr2,74.4562851149174,0.35176262277146897,0.2553862119857238,1.3773751528572444,0.16839629084310115,0.9998186074426537,6.928321379865281,1.0,6.151435609225956,7.705207150504606,5.99595280951992,7.860689950210642
Hba-x,1.1367470148870626,-0.9848323839562249,2.043831486225171,-0.48185596052987156,0.6299082727736072,,0.07160254577349774,0.4166666666666667,0.1034595438858588,0.03974554766113671,0.02149140000137545,0.12171369154562005
Hbegf,279.4568730309486,-0.0011547857487937596,0.15865903843611173,-0.007278411366767262,0.9941927192170428,0.9998186074426537,26.436226820518716,1.0,26.474624336130635,26.397829304906796,23.44984796759653,29.422605673440902
Hc,3.4735165319045946,0.2638645659214907,1.0701220610077697,0.2465742699230036,0.8052377194162597,0.9998186074426537,0.38504170399356036,1.0,0.3721516915658336,0.3979317164212872,0.4036423812595931,0.3664410267275277
Hcar2,3.7358024531783656,0.958528157399766,1.0643852421083246,0.9005462679105943,0.36782961449117924,0.9998186074426537,0.4003627816093715,1.0,0.28176009412886277,0.5189654690898803,0.400217797495142,0.4005077657236011
Hcfc1,3468.301523701089,-0.09035527819827373,0.10413298231203498,-0.8676912558551689,0.385563374026367,0.9998186074426537,363.535752349496,1.0,363.4492203780738,363.62228432091814,362.19663616117754,364.8748685378144
Hck,23.84039004670538,0.1071461609989339,0.41386595248799146,0.25889097751292506,0.7957193598261952,0.9998186074426537,2.523927869701243,1.0,2.2852992355209465,2.7625565038815396,2.5332162505966576,2.514639488805828
Hcn1,333.53184204520596,0.034314081832949296,0.20597629371895482,0.16659238407197133,0.867690786585904,0.9998186074426537,33.40162698475328,1.0,34.54560335312217,32.25765061638439,31.784592805687762,35.01866116381879
Hcn2,7822.060321553374,0.13368104172463285,0.19327093196481193,0.6916769136756252,0.48914024820977176,0.9998186074426537,871.938036308979,1.0,826.1006614051711,917.7754112127872,921.2160079155697,822.6600647023885
Hcn3,177.24652282297504,0.11163580827317973,0.21625197277195077,0.5162302421671114,0.6056936105800552,0.9998186074426537,18.2255015442981,1.0,17.10737775728422,19.343625331311994,17.727916011315767,18.723087077280443
Hcn4,305.1388322033153,-0.3277484213185088,0.17486098171403502,-1.8743370768357206,0.06088398025853797,0.7705291577529907,29.559049445540268,1.0,29.85545425453778,29.262644636542756,27.06247092223011,32.05562796885042
Hcrt,237.98565985501,-4.4982151427377275,0.9088280777428752,-4.9494676197827125,7.441675662957743e-07,0.0009300234159781438,27.753208832475156,1.0,25.255475627149334,30.250942037800982,30.723241460822177,24.783176204128136
Hcrtr1,16.496054635255316,0.4974115208233299,0.560377608551805,0.8876363245647884,0.3747364076822497,0.9998186074426537,1.5232019032051418,1.0,1.3485392925553328,1.6978645138549504,1.3078465924481832,1.7385572139621
