,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Faap100,187.91218978209125,0.10850418328326392,0.22830743955677144,0.4752546981995434,0.6346054443662383,0.9999115808203716
Fabp12,4.623484365774923,0.8944244901793363,1.0485078953695814,0.8530450692162568,0.39363431148886985,0.9999115808203716
Fabp3,963.0287512650161,0.0031514640433598353,0.15487413183647442,0.020348550180654724,0.9837653263481481,0.9999115808203716
Fabp7,1151.7049915951661,-0.20826461330223925,0.19742752895595678,-1.0548914551257949,0.29147497070852624,0.9999115808203716
Fadd,651.3226544209193,0.018856600660658515,0.2356402578565246,0.08002283154918216,0.9362190972490574,0.9999115808203716
Fah,2216.7719028904207,-0.5172382808103475,0.193880016925776,-2.667826674516767,0.007634363124858635,0.9969695229462827
Fam104a,154.11400195934766,0.08904975849577723,0.2055919219663847,0.43313841149039556,0.6649142188074413,0.9999115808203716
Fam107a,11147.78374632106,-0.06739599668547985,0.19884247677377834,-0.3389416475744053,0.7346536892328351,0.9999115808203716
Fam107b,1095.8276484790251,-0.12015554170244812,0.21057643034478096,-0.5706029943888548,0.5682687882780256,0.9999115808203716
Fam129a,40.201973780959534,-0.572380218630339,0.38181057677274816,-1.4991209082482202,0.13384226841173702,0.9999115808203716
Fam136a,782.0014718432794,0.04277644502179715,0.18497092948140592,0.2312603669221288,0.8171125347601187,0.9999115808203716
Fam13b,1986.1506993970831,0.031133850964065714,0.15668769319005088,0.19870004038098002,0.8424973924340271,0.9999115808203716
Fam192a,699.5351698554626,-0.05613160631610061,0.12881262245292482,-0.4357616920392578,0.6630096404614044,0.9999115808203716
Fam20a,139.45112729732395,0.1670137055162795,0.2621886062266832,0.636998334595374,0.5241259283948918,0.9999115808203716
Fam20c,718.2931465281481,-0.1263203870863669,0.1462643820423725,-0.863644212777463,0.3877833684264519,0.9999115808203716
Fam210a,1204.2907163286766,0.08182001117438005,0.13486287564627797,0.6066903940931809,0.5440563982254223,0.9999115808203716
Fam210b,340.32062936932925,-0.06470365045414268,0.17076271293800385,-0.3789097124360728,0.704754911588612,0.9999115808203716
Fam214a,1897.3289701682768,-0.1219529323053557,0.12547411393667562,-0.9719369874721969,0.33108189751084793,0.9999115808203716
