,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
Tdgf1,-1.137008959582798,0.8711176270961387,0.0,1.2319463626616276,0.0,1.0,1.0,13.930946305951613,1.0,15.955919824102386,11.905972787800836,16.880458384385296,10.981434227517928
Tdh,-0.9130595016075954,2.9183108501373667,0.0,4.127114783484821,0.0,1.0,1.0,0.1977719552435081,0.5,0.3454595534043819,0.05008435708263428,0.15403197596638907,0.2415119345206271
Tdrd1,-0.5510120555740033,1.463371730642902,0.0,2.0695201482685794,0.0,1.0,1.0,0.4999279573137861,0.8333333333333334,0.45283742189647774,0.5470184927310944,0.4959160253691846,0.5039398892583875
Tdrkh,-0.0469800548543989,0.12879301532424356,0.0,0.1821408290104711,0.0,1.0,1.0,139.27728323373776,1.0,140.72710291488698,137.82746355258857,137.32904021437471,141.22552625310087
Tead1,0.09313311199648427,0.10364212954016569,0.0,0.1465721052289315,0.0,1.0,1.0,271.87337631241,1.0,264.35771037628797,279.3890422485322,271.80261803017777,271.94413459464243
Tead2,-0.19096043739903457,0.3270892761770403,0.0,0.4625740904763693,0.0,1.0,1.0,10.57741505602469,1.0,11.1451476732695,10.009682438779874,12.197280791734991,8.957549320314383
Tead3,-0.08789685624820662,0.17371964463440742,0.0,0.24567667749261346,0.0,1.0,1.0,45.82532289497377,1.0,46.64943912026758,45.00120666967999,50.97874315588546,40.6719026340621
Tec,-0.11405801391477033,0.24062441841708732,0.0,0.3402943159635832,0.0,1.0,1.0,31.89758767197496,1.0,33.38027738249661,30.414897961453324,35.32895828844455,28.46621705550538
Tecpr2,-0.04626884271610396,0.11461733522782372,0.0,0.1620933899622518,0.0,1.0,1.0,209.32401078171338,1.0,210.1725005314065,208.47552103202034,212.19597937302527,206.45204219040158
Tecr,0.006016334544906504,0.13218383024814132,0.0,0.1869361654633444,0.0,1.0,1.0,150.59496397405192,1.0,152.67213088853725,148.51779705956662,156.33611792937177,144.85381001873213
Tectb,-0.281800994998284,1.6393245033660204,0.0,2.3183549457907646,0.0,1.0,1.0,0.5993582295915124,0.8333333333333334,0.6423287654367792,0.5563876937462456,0.6563386885549062,0.5423777706281185
Tek,-0.13459378877981967,0.244956005239897,0.0,0.34642010479499724,0.0,1.0,1.0,22.06301072071281,1.0,21.755619232716345,22.370402208709276,23.355895711836254,20.770125729589363
Tenm1,-0.034310674971008814,0.2629254820884554,0.0,0.37183278266297787,0.0,1.0,1.0,26.885222276447905,1.0,26.944501534156128,26.825943018739675,25.48313585584241,28.28730869705339
Tenm4,-0.019105960876382666,0.19518595567148345,0.0,0.27603462569536563,0.0,1.0,1.0,59.577855402378,1.0,58.94380908458876,60.211901720167255,64.25613916664203,54.89957163811397
