,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
Csf2,0.0,,,,,
Csf2rb,6.357396713528604,-0.041172432606382155,0.7548838986025517,-0.054541410517035746,0.9565038168496228,0.9995545441197232
Csf2rb2,6.509398176974147,0.45432746931245593,0.7817028533845941,0.5812022654712364,0.5611041409955505,0.9995545441197232
Csf3,0.1870388275202205,0.6251663949739725,4.421828840890808,0.14138186200079791,0.8875682823623244,0.9995545441197232
Csf3r,16.795950294031595,0.23323455276315935,0.49558414552135116,0.4706255332639792,0.6379081706367846,0.9995545441197232
Csk,123.84730962421186,-0.0813714306134366,0.18764216212821874,-0.43365216905694287,0.6645410449587357,0.9995545441197232
Csnk1a1,1490.2384647404178,-0.12414749076207837,0.11179831942610356,-1.1104593646788883,0.266801129211547,0.9995545441197232
Csnk1d,1646.2960139142924,-0.011389255965130565,0.10739596734940218,-0.10604919575868937,0.9155433196551345,0.9995545441197232
Csnk1e,788.3465973766988,0.01438859852106871,0.10555472635368938,0.13631410944930933,0.8915729702704461,0.9995545441197232
Csnk2a1,972.780576478997,-0.0019173116897199945,0.12915518668765397,-0.014845022789187541,0.9881558205395907,0.9995545441197232
Csnk2a2,489.6758242219571,-0.003065079198778384,0.13730773256015236,-0.022322699105351704,0.9821905421247449,0.9995545441197232
Cspg4,91.57205576728764,0.16157425104879572,0.2269600899160502,0.7119060056266283,0.47652298298670326,0.9995545441197232
Cspg5,12414.429540389521,-0.07543011374878679,0.09575651951718842,-0.7877282312380515,0.4308556885659982,0.9995545441197232
Cst7,27.001591729050357,2.827240867813164,1.4620517878737658,1.9337487845931691,,
Csta1,0.1870388275202205,0.6251663949739725,4.421828840890808,0.14138186200079791,0.8875682823623244,0.9995545441197232
Ctbp1,1750.379024993819,0.12336968363980709,0.11556719862377553,1.0675147023458813,0.2857394781734375,0.9995545441197232
Ctbp2,873.5124031359566,-0.04267273104313061,0.124816551685671,-0.3418835920943765,0.7324384980407975,0.9995545441197232
Ctcf,874.9825438115034,-0.04904246922999717,0.10997613870883259,-0.4459373624658673,0.6556424926063544,0.9995545441197232
Ctdsp1,1510.2143433961385,-0.0709740699984134,0.10003396146576961,-0.7094997434716194,0.478014410629101,0.9995545441197232
Ctdspl2,419.04242101265754,-0.07028643022861648,0.13044069585959828,-0.5388382035639422,0.5899985002836321,0.9995545441197232
Cth,605.9163906940623,-0.11458173530067747,0.14778423414920264,-0.7753312520806246,0.4381439469528077,0.9995545441197232
Ctla4,1.150702474249205,0.15438866129328246,2.0637051609005095,0.07481139467903161,0.9403647755831508,0.9995545441197232
Ctnna1,1193.2324202443526,0.05817237745757238,0.10935010252613474,0.5319828341602986,0.5947378846105569,0.9995545441197232
Ctnna3,22.705301287525984,-0.6334284463862561,0.44001583074725026,-1.43955831159653,0.14999240126542135,0.9995545441197232
Ctnnal1,470.0552251786973,-0.17871067878110342,0.1361373597902104,-1.3127232602167334,0.18927621677065976,0.9995545441197232
Ctnnb1,4427.115005627191,0.13468099372245196,0.11229841390553309,1.1993134100339777,0.23040610269492856,0.9995545441197232
